MIRtoolbox1.7	_Pitch_Mean	
song_file\0001002-¬P?©ê???.mp3	420.421226	
	NaN	
	633.058913	
	678.623908	
	668.586534	
	348.152785	
	680.261514	
	666.951571	
	694.822002	
	691.916022	
	701.048332	
	720.129543	
	710.377333	
	697.987507	
	348.253048	
	539.501820	
	NaN	
	347.390282	
	350.158176	
	1090.757279	
	79.744321	
	1019.691214	
	NaN	
	846.694833	
	NaN	
	411.635393	
	841.297079	
	424.693832	
	NaN	
	1069.855853	
	209.101271	
	79.832536	
	1035.105504	
	1045.063808	
	1073.002915	
	522.338914	
	528.269358	
	NaN	
	NaN	
	530.421323	
	78.413011	
	622.426088	
	87.854946	
	NaN	
	519.202368	
	NaN	
	653.874880	
	NaN	
	NaN	
	NaN	
	NaN	
	78.301746	
	NaN	
	NaN	
	NaN	
	87.336366	
	NaN	
	789.211255	
	235.390353	
	207.487171	
	NaN	
	199.001293	
	194.012583	
	208.060286	
	177.049817	
	175.388773	
	175.637790	
	235.495403	
	682.199777	
	178.944418	
	195.563309	
	212.135048	
	229.964265	
	492.564827	
	276.566354	
	271.631169	
	737.178945	
	261.367772	
	NaN	
	341.613984	
	316.591003	
	NaN	
	242.460448	
	281.911690	
	NaN	
	258.548849	
	264.637576	
	229.577461	
	193.718531	
	NaN	
	NaN	
	NaN	
	633.590671	
	NaN	
	NaN	
	117.525686	
	NaN	
	NaN	
	174.792413	
	178.219178	
	205.084581	
	616.575210	
	517.447539	
	542.324077	
	270.520882	
	275.335902	
	267.107024	
	229.777602	
	248.375045	
	NaN	
	NaN	
	NaN	
	228.031994	
	248.758878	
	298.197557	
	307.739665	
	312.667781	
	337.170358	
	383.837340	
	343.984781	
	NaN	
	885.172558	
	621.875913	
	339.033398	
	NaN	
	NaN	
	NaN	
	404.616412	
	NaN	
	707.468047	
	NaN	
	312.133696	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	230.611213	
	280.687553	
	NaN	
	202.250971	
	NaN	
	239.085997	
	543.472771	
	557.111872	
	551.094865	
	552.544031	
	513.021446	
	564.369543	
	547.393796	
	549.149121	
	552.568817	
	548.674660	
	543.664193	
	555.615693	
	547.607706	
	NaN	
	NaN	
	1053.862548	
	NaN	
	860.312229	
	NaN	
	976.330407	
	365.885825	
	1066.220930	
	355.678743	
	NaN	
	412.213237	
	78.985448	
	415.992199	
	393.823475	
	857.616343	
	82.060303	
	397.688411	
	736.672891	
	NaN	
	231.975613	
	308.409530	
	348.926579	
	351.468169	
	354.941672	
	NaN	
	228.900049	
	156.853186	
	158.263367	
	530.908557	
	564.110270	
	514.492117	
	281.383910	
	NaN	
	104.537465	
	NaN	
	345.829870	
	348.569766	
	418.698285	
	78.492852	
	78.328727	
	397.092330	
	410.889040	
	748.837400	
	NaN	
	NaN	
	258.542200	
	319.778476	
	347.307406	
	349.167709	
	330.331171	
	350.300575	
	374.269388	
	374.858156	
	543.742569	
	344.885456	
	348.248013	
	685.554337	
	348.762643	
	668.471011	
	677.677352	
	689.313911	
	767.760517	
	784.760240	
	682.833430	
	816.863351	
	722.302044	
	712.342101	
	715.532522	
	720.967751	
	674.501981	
	643.635214	
	628.645082	
	677.459918	
	700.976674	
	NaN	
	NaN	
	NaN	
	88.017618	
	105.281907	
	NaN	
	NaN	
	88.209635	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	263.080948	
	104.669580	
	NaN	
	NaN	
	NaN	
	976.724974	
	817.054886	
	87.332424	
	NaN	
	87.609700	
	174.621085	
	NaN	
	611.478336	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	813.023315	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	175.342919	
	176.865896	
	NaN	
	233.335050	
	689.577613	
	208.595565	
	835.117916	
	204.408681	
	NaN	
	195.789304	
	NaN	
	NaN	
	414.687059	
	NaN	
	NaN	
	NaN	
	263.235129	
	NaN	
	243.318771	
	267.921462	
	475.164238	
	653.376785	
	529.911642	
	462.110376	
	NaN	
	255.022050	
	274.242218	
	235.291489	
	1298.362898	
	274.859077	
	NaN	
	NaN	
	104.001875	
	NaN	
	178.457143	
	941.957907	
	NaN	
	344.893120	
	103.999882	
	353.518390	
	NaN	
	NaN	
	281.505004	
	NaN	
	262.806787	
	NaN	
	207.498869	
	219.174238	
	459.702363	
	454.308994	
	272.966167	
	490.413451	
	207.833094	
	NaN	
	236.570720	
	212.115741	
	195.182269	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	203.130494	
	232.796284	
	NaN	
	270.503260	
	NaN	
	676.103533	
	NaN	
	238.303889	
	236.636274	
	262.387269	
	282.316232	
	78.002308	
	NaN	
	230.616895	
	NaN	
	313.158218	
	461.491244	
	NaN	
	342.275457	
	352.021042	
	427.546496	
	332.593480	
	347.367445	
	314.662124	
	565.138551	
	NaN	
	NaN	
	87.192918	
	NaN	
	400.017185	
	391.239268	
	NaN	
	376.769482	
	353.855276	
	353.756022	
	NaN	
	NaN	
	NaN	
	305.453666	
	NaN	
	306.700061	
	577.692734	
	284.780261	
	NaN	
	NaN	
	NaN	
	NaN	
	263.573748	
	NaN	
	236.581708	
	221.275024	
	NaN	
	NaN	
	465.591491	
	NaN	
	NaN	
	263.220227	
	265.945927	
	259.486741	
	542.477023	
	118.651896	
	286.579833	
	NaN	
	540.126489	
	NaN	
	1016.723998	
	801.760268	
	796.589151	
	853.514078	
	350.519325	
	824.903878	
	385.174969	
	409.272079	
	454.656910	
	401.805780	
	391.708202	
	938.211946	
	713.791491	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	364.354176	
	NaN	
	228.099676	
	NaN	
	NaN	
	527.065566	
	539.213599	
	NaN	
	269.519826	
	NaN	
	NaN	
	NaN	
	NaN	
	346.697686	
	348.826317	
	359.644554	
	393.716705	
	402.928709	
	484.241757	
	396.400919	
	779.865694	
	819.437537	
	878.880769	
	736.314659	
	680.226286	
	NaN	
	261.466732	
	308.625139	
	559.113593	
	1103.693500	
	350.859014	
	336.515831	
	347.620270	
	741.541978	
	382.389636	
	353.067687	
	375.845996	
	312.010199	
	673.134273	
	817.462390	
	811.607111	
	NaN	
	684.300891	
	693.512829	
	681.067769	
	699.788200	
	639.564730	
	651.300912	
	624.936309	
	545.302696	
	539.289957	
	531.968090	
	104.616266	
	685.287084	
	548.800118	
	500.323726	
	526.457556	
	528.558054	
	459.041894	
	497.055172	
	484.596369	
	483.174730	
	480.965681	
	506.326281	
	486.246483	
	501.709825	
	507.000480	
	545.761729	
	506.927625	
	504.765228	
	NaN	
	508.532441	
	209.548143	
	NaN	
	212.250786	
	209.993811	
	517.146979	
	500.795918	
	NaN	
	524.608739	
	575.007700	
	537.597226	
	522.322886	
	532.164495	
	491.677866	
	268.393998	
	NaN	
	262.017551	
	NaN	
	NaN	
	837.331958	
	831.065501	
	89.370995	
	77.925704	
	733.013947	
	710.882146	
	710.294800	
	NaN	
	87.994815	
	NaN	
	NaN	
	NaN	
	NaN	
	87.630991	
	NaN	
	174.849530	
	NaN	
	194.139007	
	225.899527	
	254.284262	
	276.532361	
	269.520342	
	NaN	
	770.624997	
	235.554351	
	794.288889	
	NaN	
	NaN	
	NaN	
	230.639490	
	NaN	
	312.376847	
	288.848245	
	341.563126	
	336.656967	
	392.761489	
	375.352029	
	NaN	
	321.070073	
	350.520735	
	366.976011	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	358.003116	
	705.548808	
	725.492285	
	NaN	
	344.253863	
	317.334284	
	NaN	
	NaN	
	272.569502	
	NaN	
	NaN	
	NaN	
	1109.063906	
	264.083425	
	NaN	
	NaN	
	276.383514	
	181.915947	
	206.010704	
	199.373512	
	233.906050	
	524.858040	
	543.462154	
	531.184909	
	523.179768	
	523.443750	
	710.261975	
	830.169142	
	397.567132	
	910.971781	
	711.744931	
	749.538570	
	793.536985	
	787.349067	
	802.986619	
	815.988114	
	894.242635	
	761.327105	
	801.978673	
	774.303057	
	838.101508	
	815.013868	
	801.570844	
	NaN	
	175.491880	
	88.065282	
	NaN	
	NaN	
	978.359554	
	951.832434	
	78.545196	
	938.223110	
	917.582852	
	945.116814	
	1001.614110	
	347.342698	
	351.050545	
	NaN	
	407.099645	
	78.593990	
	493.214082	
	NaN	
	754.400027	
	916.633885	
	823.316924	
	745.515412	
	688.866647	
	NaN	
	251.513996	
	315.607842	
	105.856462	
	1038.346238	
	350.495061	
	1007.443746	
	345.771642	
	813.810776	
	373.983445	
	898.705877	
	466.368441	
	533.464481	
	691.354108	
	711.371209	
	NaN	
	NaN	
	NaN	
	742.196606	
	314.412820	
	NaN	
	1021.229267	
	1014.639579	
	359.615901	
	NaN	
	354.526011	
	NaN	
	496.379911	
	NaN	
	796.060563	
	852.857430	
	812.722439	
	NaN	
	258.154671	
	312.858835	
	1037.627098	
	NaN	
	339.247545	
	329.278746	
	378.235434	
	1233.772990	
	519.797285	
	301.620373	
	684.418570	
	708.543202	
	NaN	
	NaN	
	NaN	
	1103.431795	
	348.844750	
	338.519407	
	77.452991	
	490.501951	
	806.722576	
	345.169390	
	344.684693	
	748.433479	
	830.533057	
	717.901681	
	664.990387	
	712.726670	
	682.880771	
	NaN	
	704.830453	
	NaN	
	719.607936	
	633.068069	
	175.046773	
	241.055596	
	771.633375	
	643.600364	
	703.001750	
	NaN	
	220.413353	
	234.237046	
	631.486361	
	NaN	
	105.246614	
	264.149537	
	NaN	
	NaN	
	453.669863	
	208.951334	
	177.738482	
	263.607756	
	NaN	
	234.807098	
	733.412526	
	784.866058	
	NaN	
	177.458661	
	178.840279	
	NaN	
	88.343748	
	262.240558	
	711.050490	
	710.017961	
	NaN	
	NaN	
	NaN	
	797.515735	
	NaN	
	261.499845	
	717.120287	
	710.478954	
	NaN	
	NaN	
	NaN	
	NaN	
	86.669344	
	NaN	
	NaN	
