_Key	_Keyclarity	_Keystrength		
	11.000000	0.551962	10.000000	
	7.000000	0.320235	6.000000	
	10.000000	0.656287	9.000000	
	10.000000	0.625308	9.000000	
	10.000000	0.874045	9.000000	
	6.000000	0.601489	5.000000	
	10.000000	0.624853	9.000000	
	10.000000	0.626397	9.000000	
	10.000000	0.610569	9.000000	
	8.000000	0.592309	7.000000	
	10.000000	0.514841	9.000000	
	10.000000	0.691030	9.000000	
	10.000000	0.595429	9.000000	
	8.000000	0.538421	7.000000	
	8.000000	0.584996	7.000000	
	10.000000	0.595102	9.000000	
	3.000000	0.589980	2.000000	
	3.000000	0.672438	2.000000	
	3.000000	0.567238	2.000000	
	3.000000	0.740109	2.000000	
	10.000000	0.577661	9.000000	
	8.000000	0.595951	7.000000	
	3.000000	0.621967	2.000000	
	3.000000	0.596721	2.000000	
	8.000000	0.649802	7.000000	
	8.000000	0.650333	7.000000	
	3.000000	0.795928	2.000000	
	1.000000	0.433417	0.000000	
	3.000000	0.572757	2.000000	
	3.000000	0.838067	2.000000	
	3.000000	0.869914	2.000000	
	10.000000	0.674153	9.000000	
	6.000000	0.685369	5.000000	
	3.000000	0.831243	2.000000	
	3.000000	0.814218	2.000000	
	3.000000	0.937697	2.000000	
	6.000000	0.748780	5.000000	
	6.000000	0.791369	5.000000	
	6.000000	0.737870	5.000000	
	6.000000	0.783995	5.000000	
	6.000000	0.788104	5.000000	
	6.000000	0.711960	5.000000	
	8.000000	0.912699	7.000000	
	8.000000	0.861228	7.000000	
	8.000000	0.910966	7.000000	
	8.000000	0.816923	7.000000	
	1.000000	0.745716	0.000000	
	1.000000	0.754064	0.000000	
	1.000000	0.687040	0.000000	
	6.000000	0.852120	5.000000	
	6.000000	0.805248	5.000000	
	6.000000	0.901904	5.000000	
	6.000000	0.847053	5.000000	
	6.000000	0.725472	5.000000	
	6.000000	0.817148	5.000000	
	6.000000	0.685457	5.000000	
	10.000000	0.565236	9.000000	
	6.000000	0.696148	5.000000	
	6.000000	0.742680	5.000000	
	10.000000	0.740369	9.000000	
	6.000000	0.626410	5.000000	
	3.000000	0.797770	2.000000	
	1.000000	0.798002	0.000000	
	1.000000	0.735642	0.000000	
	1.000000	0.724514	0.000000	
	1.000000	0.691996	0.000000	
	1.000000	0.529852	0.000000	
	1.000000	0.700015	0.000000	
	10.000000	0.610896	9.000000	
	3.000000	0.860592	2.000000	
	3.000000	0.639787	2.000000	
	3.000000	0.723603	2.000000	
	11.000000	0.735815	10.000000	
	8.000000	0.686946	7.000000	
	10.000000	0.593300	9.000000	
	8.000000	0.735849	7.000000	
	8.000000	0.694786	7.000000	
	8.000000	0.745921	7.000000	
	1.000000	0.542856	0.000000	
	1.000000	0.607889	0.000000	
	1.000000	0.661387	0.000000	
	6.000000	0.654329	5.000000	
	10.000000	0.656759	9.000000	
	6.000000	0.739370	5.000000	
	6.000000	0.788394	5.000000	
	10.000000	0.650046	9.000000	
	10.000000	0.683012	9.000000	
	3.000000	0.776992	2.000000	
	1.000000	0.769814	0.000000	
	1.000000	0.745801	0.000000	
	1.000000	0.725725	0.000000	
	1.000000	0.800450	0.000000	
	1.000000	0.729220	0.000000	
	1.000000	0.641444	0.000000	
	10.000000	0.658728	9.000000	
	3.000000	0.802475	2.000000	
	3.000000	0.794365	2.000000	
	3.000000	0.704230	2.000000	
	11.000000	0.848449	10.000000	
	11.000000	0.647134	10.000000	
	8.000000	0.701459	7.000000	
	1.000000	0.751849	0.000000	
	6.000000	0.773712	5.000000	
	1.000000	0.542856	0.000000	
	6.000000	0.578563	5.000000	
	3.000000	0.614662	2.000000	
	3.000000	0.667943	2.000000	
	3.000000	0.592049	2.000000	
	3.000000	0.801405	2.000000	
	3.000000	0.795627	2.000000	
	3.000000	0.730945	2.000000	
	3.000000	0.768591	2.000000	
	3.000000	0.729587	2.000000	
	3.000000	0.761820	2.000000	
	6.000000	0.812859	5.000000	
	10.000000	0.458242	9.000000	
	6.000000	0.657803	5.000000	
	6.000000	0.654560	5.000000	
	6.000000	0.533895	5.000000	
	6.000000	0.739450	5.000000	
	6.000000	0.675138	5.000000	
	8.000000	0.723195	7.000000	
	8.000000	0.544037	7.000000	
	8.000000	0.721331	7.000000	
	8.000000	0.689678	7.000000	
	8.000000	0.589816	7.000000	
	8.000000	0.696093	7.000000	
	6.000000	0.747977	5.000000	
	1.000000	0.726181	0.000000	
	1.000000	0.723306	0.000000	
	1.000000	0.720759	0.000000	
	1.000000	0.754121	0.000000	
	1.000000	0.660444	0.000000	
	1.000000	0.652147	0.000000	
	11.000000	0.705463	10.000000	
	11.000000	0.871997	10.000000	
	11.000000	0.829719	10.000000	
	1.000000	0.715369	0.000000	
	1.000000	0.702836	0.000000	
	1.000000	0.640718	0.000000	
	6.000000	0.627739	5.000000	
	6.000000	0.759971	5.000000	
	6.000000	0.785026	5.000000	
	1.000000	0.751381	0.000000	
	10.000000	0.757056	9.000000	
	10.000000	0.771032	9.000000	
	6.000000	0.753817	5.000000	
	8.000000	0.790720	7.000000	
	8.000000	0.620801	7.000000	
	8.000000	0.667493	7.000000	
	1.000000	0.759358	0.000000	
	1.000000	0.750404	0.000000	
	1.000000	0.709433	0.000000	
	3.000000	0.899068	2.000000	
	3.000000	0.845156	2.000000	
	6.000000	0.748330	5.000000	
	6.000000	0.821326	5.000000	
	6.000000	0.734381	5.000000	
	6.000000	0.793875	5.000000	
	6.000000	0.804869	5.000000	
	3.000000	0.899745	2.000000	
	3.000000	0.828638	2.000000	
	3.000000	0.817001	2.000000	
	3.000000	0.819980	2.000000	
	3.000000	0.818606	2.000000	
	6.000000	0.689933	5.000000	
	6.000000	0.867717	5.000000	
	6.000000	0.834383	5.000000	
	6.000000	0.822954	5.000000	
	6.000000	0.801378	5.000000	
	6.000000	0.831282	5.000000	
	6.000000	0.893440	5.000000	
	6.000000	0.829380	5.000000	
	8.000000	0.787450	7.000000	
	8.000000	0.892847	7.000000	
	8.000000	0.851685	7.000000	
	1.000000	0.691486	0.000000	
	1.000000	0.770142	0.000000	
	1.000000	0.702228	0.000000	
	6.000000	0.699350	5.000000	
	10.000000	0.666314	9.000000	
	6.000000	0.807002	5.000000	
	6.000000	0.763698	5.000000	
	6.000000	0.841313	5.000000	
	3.000000	0.600722	2.000000	
	6.000000	0.726138	5.000000	
	6.000000	0.566045	5.000000	
	10.000000	0.700637	9.000000	
	6.000000	0.708638	5.000000	
	6.000000	0.840048	5.000000	
	10.000000	0.721550	9.000000	
	10.000000	0.686989	9.000000	
	3.000000	0.788816	2.000000	
	1.000000	0.822006	0.000000	
	1.000000	0.698184	0.000000	
	1.000000	0.771377	0.000000	
	1.000000	0.624279	0.000000	
	1.000000	0.562066	0.000000	
	1.000000	0.755021	0.000000	
	3.000000	0.611683	2.000000	
	3.000000	0.917845	2.000000	
	3.000000	0.666902	2.000000	
	3.000000	0.763470	2.000000	
	11.000000	0.766397	10.000000	
	8.000000	0.798925	7.000000	
	8.000000	0.579652	7.000000	
	8.000000	0.722580	7.000000	
	8.000000	0.659038	7.000000	
	8.000000	0.665864	7.000000	
	1.000000	0.557817	0.000000	
	1.000000	0.608677	0.000000	
	1.000000	0.760906	0.000000	
	6.000000	0.691324	5.000000	
	6.000000	0.710608	5.000000	
	1.000000	0.584260	0.000000	
