MIRtoolbox1.7	_Pitch_Mean	
song_file\0001845-我的未來不是夢.mp3	NaN	
	111.212786	
	NaN	
	110.793989	
	377.612603	
	330.927375	
	331.040126	
	333.494022	
	331.955991	
	339.238729	
	610.897797	
	294.937125	
	295.151023	
	295.372863	
	NaN	
	571.801083	
	293.420975	
	357.687916	
	372.104268	
	369.794759	
	302.621861	
	337.765998	
	332.586209	
	334.109244	
	338.230927	
	333.391946	
	422.976586	
	437.493509	
	438.787001	
	475.475988	
	365.705444	
	341.390304	
	354.662726	
	333.751961	
	327.661681	
	599.175552	
	297.055963	
	NaN	
	295.209662	
	369.784078	
	337.128071	
	337.605462	
	333.512265	
	298.813624	
	302.311781	
	376.014504	
	334.467517	
	331.274726	
	337.942466	
	334.666672	
	612.096474	
	296.735259	
	NaN	
	NaN	
	NaN	
	295.248238	
	256.541854	
	NaN	
	370.894563	
	365.338621	
	318.463274	
	310.836159	
	302.309202	
	335.934076	
	660.367546	
	338.670039	
	335.982188	
	NaN	
	438.821139	
	482.224458	
	347.253920	
	362.924195	
	NaN	
	300.537107	
	612.075342	
	298.422882	
	294.422363	
	301.544322	
	300.385358	
	367.257332	
	373.421824	
	366.285432	
	327.935614	
	618.496422	
	298.402424	
	295.956155	
	341.559930	
	356.139218	
	NaN	
	352.606666	
	772.221084	
	354.085843	
	NaN	
	367.403432	
	375.797798	
	359.592238	
	339.408966	
	373.072690	
	NaN	
	224.280688	
	252.313868	
	297.551641	
	302.669509	
	302.187557	
	302.325155	
	251.822274	
	NaN	
	252.914696	
	370.508395	
	319.365984	
	NaN	
	639.586459	
	333.519631	
	331.423987	
	337.130464	
	NaN	
	308.266679	
	NaN	
	1235.524290	
	1347.523274	
	1229.622381	
	NaN	
	110.971715	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	446.067327	
	NaN	
	NaN	
	223.951022	
	298.964216	
	338.299934	
	494.198345	
	683.810524	
	1166.618221	
	146.351494	
	NaN	
	NaN	
	1134.786983	
	NaN	
	NaN	
	147.945236	
	244.949262	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	654.128663	
	NaN	
	NaN	
	NaN	
	NaN	
	382.072993	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	374.603390	
	148.177633	
	NaN	
	351.601723	
	NaN	
	NaN	
	638.983298	
	110.942791	
	688.652396	
	718.475395	
	NaN	
	659.147319	
	NaN	
	NaN	
	NaN	
	748.450478	
	NaN	
	NaN	
	NaN	
	NaN	
	659.104971	
	671.596912	
	687.275690	
	737.948414	
	697.093801	
	NaN	
	NaN	
	299.995310	
	362.784791	
	377.395803	
	374.446337	
	376.670953	
	NaN	
	468.566327	
	NaN	
	NaN	
	NaN	
	NaN	
