_Key	_Keyclarity	_Keystrength		
	9.000000	0.780363	8.000000	
	9.000000	0.706470	8.000000	
	9.000000	0.773536	8.000000	
	1.000000	0.887776	0.000000	
	1.000000	0.896687	0.000000	
	2.000000	0.838589	1.000000	
	2.000000	0.834039	1.000000	
	2.000000	0.848037	1.000000	
	2.000000	0.843015	1.000000	
	2.000000	0.760637	1.000000	
	2.000000	0.806413	1.000000	
	9.000000	0.819479	8.000000	
	9.000000	0.780331	8.000000	
	9.000000	0.895882	8.000000	
	1.000000	0.877132	0.000000	
	1.000000	0.793204	0.000000	
	2.000000	0.886736	1.000000	
	2.000000	0.866449	1.000000	
	2.000000	0.863287	1.000000	
	2.000000	0.878838	1.000000	
	2.000000	0.808166	1.000000	
	2.000000	0.782377	1.000000	
	11.000000	0.805218	10.000000	
	11.000000	0.735455	10.000000	
	2.000000	0.748651	1.000000	
	9.000000	0.753123	8.000000	
	4.000000	0.795157	3.000000	
	4.000000	0.801198	3.000000	
	6.000000	0.561442	5.000000	
	6.000000	0.417534	5.000000	
	2.000000	0.674414	1.000000	
	2.000000	0.736859	1.000000	
	9.000000	0.783751	8.000000	
	4.000000	0.786725	3.000000	
	11.000000	0.690097	10.000000	
	9.000000	0.730600	8.000000	
	9.000000	0.795044	8.000000	
	4.000000	0.909105	3.000000	
	4.000000	0.931639	3.000000	
	2.000000	0.820602	1.000000	
	2.000000	0.868407	1.000000	
	2.000000	0.866706	1.000000	
	9.000000	0.478600	8.000000	
	4.000000	0.695949	3.000000	
	4.000000	0.667467	3.000000	
	9.000000	0.806506	8.000000	
	9.000000	0.644695	8.000000	
	9.000000	0.809098	8.000000	
	1.000000	0.885089	0.000000	
	1.000000	0.843102	0.000000	
	2.000000	0.837579	1.000000	
	2.000000	0.780421	1.000000	
	9.000000	0.721294	8.000000	
	2.000000	0.822580	1.000000	
	9.000000	0.581616	8.000000	
	4.000000	0.570894	3.000000	
	9.000000	0.552200	8.000000	
	9.000000	0.519292	8.000000	
	1.000000	0.551505	0.000000	
	9.000000	0.392715	8.000000	
	1.000000	0.805791	0.000000	
	1.000000	0.510749	0.000000	
	2.000000	0.687896	1.000000	
	2.000000	0.574714	1.000000	
	2.000000	0.531943	1.000000	
	9.000000	0.576466	8.000000	
	9.000000	0.703802	8.000000	
	9.000000	0.669449	8.000000	
	9.000000	0.493831	8.000000	
	9.000000	0.567974	8.000000	
	1.000000	0.311399	0.000000	
	1.000000	0.695483	0.000000	
	6.000000	0.469585	5.000000	
	2.000000	0.539698	1.000000	
	2.000000	0.508253	1.000000	
	2.000000	0.690719	1.000000	
	2.000000	0.847875	1.000000	
	2.000000	0.630497	1.000000	
	2.000000	0.439291	1.000000	
	4.000000	0.768839	3.000000	
	4.000000	0.650529	3.000000	
	9.000000	0.556123	8.000000	
	9.000000	0.750810	8.000000	
	2.000000	0.365969	1.000000	
