_Key	_Keyclarity	_Keystrength		
	9.000000	0.287907	8.000000	
	9.000000	0.178878	8.000000	
	5.000000	0.502505	4.000000	
	8.000000	0.210649	7.000000	
	10.000000	0.375267	9.000000	
	3.000000	0.322571	2.000000	
	6.000000	0.175858	5.000000	
	1.000000	0.299550	0.000000	
	1.000000	0.523759	0.000000	
	5.000000	0.449335	4.000000	
	8.000000	0.236026	7.000000	
	8.000000	0.310556	7.000000	
	4.000000	0.379599	3.000000	
	4.000000	0.204999	3.000000	
	6.000000	0.210168	5.000000	
	8.000000	0.351384	7.000000	
	8.000000	0.153378	7.000000	
	9.000000	0.235031	8.000000	
	5.000000	0.472975	4.000000	
	8.000000	0.348228	7.000000	
	8.000000	0.175879	7.000000	
	8.000000	0.327737	7.000000	
	5.000000	0.273621	4.000000	
	8.000000	0.316062	7.000000	
	5.000000	0.287656	4.000000	
	12.000000	0.529975	11.000000	
	8.000000	0.497883	7.000000	
	3.000000	0.228421	2.000000	
	5.000000	0.416862	4.000000	
	8.000000	0.371229	7.000000	
	3.000000	0.590835	2.000000	
	3.000000	0.540591	2.000000	
	3.000000	0.554271	2.000000	
	8.000000	0.532415	7.000000	
	8.000000	0.532588	7.000000	
	3.000000	0.596303	2.000000	
	7.000000	0.681004	6.000000	
	8.000000	0.614928	7.000000	
	8.000000	0.587105	7.000000	
	8.000000	0.551551	7.000000	
	8.000000	0.738736	7.000000	
	8.000000	0.723865	7.000000	
	8.000000	0.481570	7.000000	
	12.000000	0.451234	11.000000	
	12.000000	0.572467	11.000000	
	12.000000	0.549493	11.000000	
	12.000000	0.593557	11.000000	
	3.000000	0.630104	2.000000	
	3.000000	0.640557	2.000000	
	3.000000	0.644186	2.000000	
	3.000000	0.636152	2.000000	
	3.000000	0.664796	2.000000	
	3.000000	0.657240	2.000000	
	3.000000	0.626128	2.000000	
	3.000000	0.616268	2.000000	
	3.000000	0.632651	2.000000	
	3.000000	0.690702	2.000000	
	3.000000	0.637106	2.000000	
	3.000000	0.623922	2.000000	
	3.000000	0.582998	2.000000	
	3.000000	0.624493	2.000000	
	8.000000	0.630142	7.000000	
	8.000000	0.593971	7.000000	
