MIRtoolbox1.7	_Pitch_Mean	
song_file\0001993-±Û­·¨à.mp3	NaN	
	NaN	
	119.195761	
	NaN	
	NaN	
	NaN	
	NaN	
	102.570982	
	NaN	
	NaN	
	NaN	
	101.426107	
	NaN	
	243.324276	
	190.415786	
	191.789377	
	924.882542	
	NaN	
	190.514837	
	NaN	
	322.837593	
	NaN	
	933.563640	
	NaN	
	578.003105	
	NaN	
	586.131819	
	590.298474	
	657.738843	
	835.595241	
	891.431688	
	869.134340	
	784.082714	
	876.535491	
	483.581964	
	NaN	
	NaN	
	195.498643	
	NaN	
	NaN	
	494.344145	
	626.245493	
	NaN	
	167.811529	
	687.197613	
	NaN	
	NaN	
	119.296378	
	NaN	
	794.989253	
	NaN	
	NaN	
	589.400698	
	908.619956	
	NaN	
	NaN	
	NaN	
	NaN	
	924.606950	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	633.370595	
	NaN	
	129.341446	
	NaN	
	NaN	
	190.971421	
	NaN	
	NaN	
	217.376028	
	242.192404	
	193.462181	
	218.218858	
	NaN	
	471.479988	
	239.665858	
	246.165341	
	NaN	
	244.015433	
	193.864372	
	218.457747	
	NaN	
	141.964633	
	121.143098	
	NaN	
	NaN	
	96.618199	
	242.798783	
	NaN	
	NaN	
	638.891603	
	291.129790	
	625.639052	
	195.373190	
	288.924330	
	290.116540	
	243.561526	
	NaN	
	NaN	
	NaN	
	626.821157	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	646.878389	
	NaN	
	643.947526	
	NaN	
	197.537387	
	NaN	
	687.245157	
	219.412399	
	387.260133	
	NaN	
	244.977717	
	215.333974	
	242.986714	
	NaN	
	144.110692	
	NaN	
	121.305843	
	NaN	
	NaN	
	NaN	
	NaN	
	237.598696	
	190.952735	
	288.113705	
	293.107122	
	222.859048	
	541.527484	
	352.088458	
	640.097430	
	470.845227	
	286.909155	
	287.622186	
	191.859752	
	NaN	
	NaN	
	956.900314	
	95.599546	
	926.353098	
	943.438710	
	959.522518	
	947.082919	
	831.533673	
	765.642782	
	NaN	
	926.696787	
	439.324059	
	435.995947	
	81.053335	
	NaN	
	650.060249	
	668.201989	
	97.311050	
	141.922669	
	NaN	
	218.200076	
	NaN	
	236.620915	
	619.656749	
	NaN	
	239.455077	
	328.726564	
	388.838889	
	216.674579	
	286.873446	
	NaN	
	292.795773	
	472.269428	
	288.323559	
	237.301973	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	438.775451	
	316.646186	
	NaN	
	290.329467	
	321.875146	
	323.552987	
	NaN	
