_Key	_Keyclarity	_Keystrength		
	1.000000	0.593926	0.000000	
	1.000000	0.820602	0.000000	
	1.000000	0.498019	0.000000	
	8.000000	0.710855	7.000000	
	8.000000	0.730441	7.000000	
	1.000000	0.543543	0.000000	
	8.000000	0.544633	7.000000	
	8.000000	0.667423	7.000000	
	8.000000	0.678799	7.000000	
	8.000000	0.701669	7.000000	
	7.000000	0.408095	6.000000	
	6.000000	0.724447	5.000000	
	6.000000	0.816431	5.000000	
	11.000000	0.811995	10.000000	
	11.000000	0.759501	10.000000	
	8.000000	0.458661	7.000000	
	4.000000	0.806465	3.000000	
	4.000000	0.677219	3.000000	
	8.000000	0.470202	7.000000	
	11.000000	0.402315	10.000000	
	1.000000	0.624476	0.000000	
	1.000000	0.681556	0.000000	
	1.000000	0.792027	0.000000	
	4.000000	0.629296	3.000000	
	1.000000	0.785962	0.000000	
	8.000000	0.573211	7.000000	
	8.000000	0.652193	7.000000	
	8.000000	0.671087	7.000000	
	8.000000	0.676049	7.000000	
	8.000000	0.636999	7.000000	
	11.000000	0.298433	10.000000	
	1.000000	0.611002	0.000000	
	1.000000	0.803088	0.000000	
	4.000000	0.654068	3.000000	
	1.000000	0.770116	0.000000	
	8.000000	0.505800	7.000000	
	8.000000	0.621655	7.000000	
	8.000000	0.676350	7.000000	
	8.000000	0.607996	7.000000	
	4.000000	0.867050	3.000000	
	1.000000	0.442618	0.000000	
	1.000000	0.683736	0.000000	
	1.000000	0.562817	0.000000	
	4.000000	0.572191	3.000000	
	4.000000	0.809790	3.000000	
	9.000000	0.563708	8.000000	
	9.000000	0.591136	8.000000	
	9.000000	0.535505	8.000000	
	9.000000	0.782908	8.000000	
	9.000000	0.443919	8.000000	
	4.000000	0.439826	3.000000	
	4.000000	0.609815	3.000000	
	4.000000	0.762042	3.000000	
	1.000000	0.620087	0.000000	
	9.000000	0.602962	8.000000	
	11.000000	0.597770	10.000000	
	11.000000	0.788059	10.000000	
	11.000000	0.784824	10.000000	
	11.000000	0.790419	10.000000	
	11.000000	0.553973	10.000000	
	4.000000	0.486960	3.000000	
	1.000000	0.882836	0.000000	
	1.000000	0.680424	0.000000	
	8.000000	0.670969	7.000000	
	4.000000	0.579200	3.000000	
	1.000000	0.311484	0.000000	
	6.000000	0.528989	5.000000	
	9.000000	0.558553	8.000000	
	1.000000	0.409415	0.000000	
	3.000000	0.341461	2.000000	
	9.000000	0.639990	8.000000	
	1.000000	0.345831	0.000000	
	11.000000	0.647330	10.000000	
	6.000000	0.557657	5.000000	
	6.000000	0.477992	5.000000	
	4.000000	0.638326	3.000000	
	4.000000	0.580018	3.000000	
	4.000000	0.816638	3.000000	
	4.000000	0.816381	3.000000	
	1.000000	0.623915	0.000000	
	1.000000	0.681082	0.000000	
	1.000000	0.805534	0.000000	
	4.000000	0.537932	3.000000	
	1.000000	0.784536	0.000000	
	1.000000	0.609075	0.000000	
	8.000000	0.753821	7.000000	
	8.000000	0.723174	7.000000	
	8.000000	0.649626	7.000000	
	8.000000	0.714157	7.000000	
	1.000000	0.270965	0.000000	
	1.000000	0.665424	0.000000	
	1.000000	0.832494	0.000000	
	4.000000	0.632270	3.000000	
	1.000000	0.704017	0.000000	
	8.000000	0.515510	7.000000	
	8.000000	0.717121	7.000000	
	8.000000	0.846503	7.000000	
	8.000000	0.741114	7.000000	
	4.000000	0.401005	3.000000	
	12.000000	0.292804	11.000000	
	1.000000	0.680899	0.000000	
	1.000000	0.703838	0.000000	
	4.000000	0.551660	3.000000	
	4.000000	0.693117	3.000000	
	9.000000	0.843146	8.000000	
	9.000000	0.563282	8.000000	
	9.000000	0.578059	8.000000	
	9.000000	0.578407	8.000000	
	9.000000	0.639477	8.000000	
	6.000000	0.469330	5.000000	
	8.000000	0.585829	7.000000	
	4.000000	0.657106	3.000000	
	1.000000	0.772445	0.000000	
	6.000000	0.612914	5.000000	
	4.000000	0.637863	3.000000	
	11.000000	0.618545	10.000000	
	11.000000	0.699150	10.000000	
	11.000000	0.679623	10.000000	
	4.000000	0.766508	3.000000	
	6.000000	0.559072	5.000000	
	8.000000	0.503711	7.000000	
	1.000000	0.844802	0.000000	
	8.000000	0.567180	7.000000	
	11.000000	0.611751	10.000000	
	1.000000	0.643131	0.000000	
	6.000000	0.722693	5.000000	
	6.000000	0.922484	5.000000	
	6.000000	0.639357	5.000000	
	11.000000	0.467568	10.000000	
	9.000000	0.449872	8.000000	
	9.000000	0.752792	8.000000	
	1.000000	0.364923	0.000000	
	11.000000	0.586035	10.000000	
	11.000000	0.432551	10.000000	
	4.000000	0.330872	3.000000	
	4.000000	0.690118	3.000000	
	1.000000	0.519082	0.000000	
	4.000000	0.793942	3.000000	
	4.000000	0.743581	3.000000	
	9.000000	0.553036	8.000000	
	9.000000	0.594971	8.000000	
	5.000000	0.403006	4.000000	
	9.000000	0.578937	8.000000	
	5.000000	0.352286	4.000000	
	8.000000	0.648013	7.000000	
	8.000000	0.801565	7.000000	
	8.000000	0.854572	7.000000	
	8.000000	0.485355	7.000000	
	4.000000	0.695599	3.000000	
	6.000000	0.689776	5.000000	
	6.000000	0.781749	5.000000	
	6.000000	0.823093	5.000000	
	1.000000	0.734589	0.000000	
	6.000000	0.770967	5.000000	
	11.000000	0.714382	10.000000	
