_Key	_Keyclarity	_Keystrength		
	4.000000	0.388478	3.000000	
	4.000000	0.607745	3.000000	
	4.000000	0.601414	3.000000	
	4.000000	0.605865	3.000000	
	4.000000	0.600345	3.000000	
	4.000000	0.486979	3.000000	
	4.000000	0.587497	3.000000	
	4.000000	0.599214	3.000000	
	4.000000	0.676225	3.000000	
	9.000000	0.768535	8.000000	
	9.000000	0.790047	8.000000	
	9.000000	0.767613	8.000000	
	9.000000	0.788795	8.000000	
	9.000000	0.744071	8.000000	
	9.000000	0.744731	8.000000	
	9.000000	0.726435	8.000000	
	1.000000	0.669674	0.000000	
	1.000000	0.829198	0.000000	
	1.000000	0.839983	0.000000	
	1.000000	0.788700	0.000000	
	1.000000	0.755681	0.000000	
	11.000000	0.620670	10.000000	
	11.000000	0.752445	10.000000	
	11.000000	0.720943	10.000000	
	11.000000	0.812496	10.000000	
	11.000000	0.793111	10.000000	
	11.000000	0.652825	10.000000	
	6.000000	0.884858	5.000000	
	6.000000	0.782941	5.000000	
	6.000000	0.858149	5.000000	
	6.000000	0.862219	5.000000	
	6.000000	0.877180	5.000000	
	9.000000	0.781741	8.000000	
	9.000000	0.778321	8.000000	
	9.000000	0.768829	8.000000	
	9.000000	0.820260	8.000000	
	9.000000	0.809668	8.000000	
	1.000000	0.772758	0.000000	
	1.000000	0.849204	0.000000	
	1.000000	0.849158	0.000000	
	1.000000	0.899160	0.000000	
	1.000000	0.854178	0.000000	
	1.000000	0.850093	0.000000	
	11.000000	0.722186	10.000000	
	11.000000	0.618308	10.000000	
	11.000000	0.682466	10.000000	
	11.000000	0.798344	10.000000	
	2.000000	0.829060	1.000000	
	9.000000	0.640905	8.000000	
	9.000000	0.745463	8.000000	
	9.000000	0.779200	8.000000	
	9.000000	0.755398	8.000000	
	9.000000	0.889320	8.000000	
	9.000000	0.797546	8.000000	
	9.000000	0.608937	8.000000	
	1.000000	0.606138	0.000000	
	1.000000	0.582226	0.000000	
	1.000000	0.596718	0.000000	
	1.000000	0.670943	0.000000	
	11.000000	0.688171	10.000000	
	11.000000	0.523167	10.000000	
	4.000000	0.429426	3.000000	
	9.000000	0.667162	8.000000	
	6.000000	0.680304	5.000000	
	9.000000	0.561244	8.000000	
	2.000000	0.379843	1.000000	
	2.000000	0.382025	1.000000	
	9.000000	0.433402	8.000000	
	2.000000	0.771597	1.000000	
	2.000000	0.841009	1.000000	
	9.000000	0.690377	8.000000	
	9.000000	0.629943	8.000000	
	9.000000	0.792224	8.000000	
	9.000000	0.794548	8.000000	
	9.000000	0.731586	8.000000	
	2.000000	0.703965	1.000000	
	2.000000	0.647985	1.000000	
	2.000000	0.718138	1.000000	
	2.000000	0.596129	1.000000	
	11.000000	0.776081	10.000000	
	9.000000	0.780601	8.000000	
	9.000000	0.675112	8.000000	
	9.000000	0.726239	8.000000	
	9.000000	0.538350	8.000000	
	9.000000	0.673455	8.000000	
	9.000000	0.688875	8.000000	
	9.000000	0.785595	8.000000	
	9.000000	0.761138	8.000000	
	9.000000	0.663331	8.000000	
	11.000000	0.657037	10.000000	
	11.000000	0.242942	10.000000	
	9.000000	0.458748	8.000000	
	9.000000	0.616707	8.000000	
	9.000000	0.688370	8.000000	
	9.000000	0.813794	8.000000	
	9.000000	0.742694	8.000000	
	4.000000	0.628703	3.000000	
	4.000000	0.551134	3.000000	
	4.000000	0.594892	3.000000	
	4.000000	0.577362	3.000000	
	1.000000	0.637884	0.000000	
	9.000000	0.651364	8.000000	
	9.000000	0.586138	8.000000	
	9.000000	0.487643	8.000000	
	9.000000	0.601878	8.000000	
	9.000000	0.767014	8.000000	
	9.000000	0.585878	8.000000	
	6.000000	0.490267	5.000000	
	6.000000	0.685038	5.000000	
	11.000000	0.334413	10.000000	
	11.000000	0.494423	10.000000	
	11.000000	0.688776	10.000000	
	4.000000	0.705972	3.000000	
	4.000000	0.605832	3.000000	
	4.000000	0.605486	3.000000	
	4.000000	0.588472	3.000000	
	4.000000	0.742243	3.000000	
	9.000000	0.640557	8.000000	
	9.000000	0.549794	8.000000	
	4.000000	0.704330	3.000000	
	1.000000	0.609330	0.000000	
	5.000000	0.460082	4.000000	
	6.000000	0.819775	5.000000	
	6.000000	0.645855	5.000000	
	6.000000	0.602989	5.000000	
	9.000000	0.700203	8.000000	
	4.000000	0.678833	3.000000	
	1.000000	0.637193	0.000000	
	9.000000	0.618797	8.000000	
	6.000000	0.554194	5.000000	
	9.000000	0.670641	8.000000	
	1.000000	0.464244	0.000000	
	9.000000	0.594359	8.000000	
	11.000000	0.400534	10.000000	
	11.000000	0.544479	10.000000	
	4.000000	0.761055	3.000000	
	1.000000	0.697775	0.000000	
	1.000000	0.573833	0.000000	
	9.000000	0.569879	8.000000	
	9.000000	0.648540	8.000000	
	9.000000	0.866689	8.000000	
	1.000000	0.484007	0.000000	
	1.000000	0.749521	0.000000	
	6.000000	0.752434	5.000000	
	2.000000	0.575679	1.000000	
	11.000000	0.716158	10.000000	
	1.000000	0.713675	0.000000	
	9.000000	0.791111	8.000000	
	11.000000	0.471661	10.000000	
	11.000000	0.507063	10.000000	
	11.000000	0.630969	10.000000	
	11.000000	0.666067	10.000000	
	2.000000	0.788767	1.000000	
	2.000000	0.740301	1.000000	
	9.000000	0.704797	8.000000	
	9.000000	0.749433	8.000000	
	9.000000	0.668045	8.000000	
	9.000000	0.792785	8.000000	
	9.000000	0.773181	8.000000	
	2.000000	0.840927	1.000000	
	6.000000	0.787043	5.000000	
	2.000000	0.828931	1.000000	
	2.000000	0.877699	1.000000	
	2.000000	0.878507	1.000000	
	9.000000	0.769837	8.000000	
	9.000000	0.796579	8.000000	
	9.000000	0.742037	8.000000	
	9.000000	0.587631	8.000000	
	9.000000	0.826784	8.000000	
	11.000000	0.702419	10.000000	
	11.000000	0.706830	10.000000	
	11.000000	0.672573	10.000000	
	11.000000	0.726966	10.000000	
	2.000000	0.860233	1.000000	
	9.000000	0.603483	8.000000	
	9.000000	0.765514	8.000000	
	9.000000	0.773340	8.000000	
	9.000000	0.790509	8.000000	
	9.000000	0.854279	8.000000	
	9.000000	0.747828	8.000000	
	9.000000	0.569030	8.000000	
	9.000000	0.577499	8.000000	
	1.000000	0.690444	0.000000	
	6.000000	0.509457	5.000000	
	11.000000	0.326154	10.000000	
	11.000000	0.575040	10.000000	
	1.000000	0.543838	0.000000	
	9.000000	0.389970	8.000000	
	9.000000	0.568278	8.000000	
	6.000000	0.622742	5.000000	
	9.000000	0.687601	8.000000	
	9.000000	0.452279	8.000000	
	9.000000	0.554055	8.000000	
	2.000000	0.703613	1.000000	
	2.000000	0.649922	1.000000	
	2.000000	0.745405	1.000000	
	2.000000	0.429375	1.000000	
