_Key	_Keyclarity	_Keystrength		
	1.000000	0.617221	0.000000	
	1.000000	0.630449	0.000000	
	1.000000	0.654777	0.000000	
	1.000000	0.765317	0.000000	
	10.000000	0.530320	9.000000	
	5.000000	0.746862	4.000000	
	5.000000	0.693423	4.000000	
	6.000000	0.435738	5.000000	
	6.000000	0.710683	5.000000	
	1.000000	0.283193	0.000000	
	1.000000	0.471899	0.000000	
	10.000000	0.647992	9.000000	
	12.000000	0.638562	11.000000	
	1.000000	0.728386	0.000000	
	1.000000	0.707262	0.000000	
	1.000000	0.676290	0.000000	
	1.000000	0.661978	0.000000	
	5.000000	0.513632	4.000000	
	5.000000	0.572783	4.000000	
	10.000000	0.561139	9.000000	
	6.000000	0.599092	5.000000	
	6.000000	0.674090	5.000000	
	1.000000	0.689303	0.000000	
	1.000000	0.622586	0.000000	
	1.000000	0.643974	0.000000	
	1.000000	0.446994	0.000000	
	1.000000	0.623407	0.000000	
	1.000000	0.503999	0.000000	
	1.000000	0.648188	0.000000	
	1.000000	0.540161	0.000000	
	1.000000	0.768627	0.000000	
	1.000000	0.738231	0.000000	
	3.000000	0.451489	2.000000	
	3.000000	0.390990	2.000000	
	3.000000	0.489472	2.000000	
	3.000000	0.686882	2.000000	
	3.000000	0.578736	2.000000	
	3.000000	0.651459	2.000000	
	8.000000	0.589105	7.000000	
	1.000000	0.396946	0.000000	
	8.000000	0.454934	7.000000	
	8.000000	0.541791	7.000000	
	1.000000	0.535657	0.000000	
	1.000000	0.494397	0.000000	
	1.000000	0.589200	0.000000	
	1.000000	0.577616	0.000000	
	1.000000	0.677269	0.000000	
	1.000000	0.458631	0.000000	
	3.000000	0.429253	2.000000	
	3.000000	0.416352	2.000000	
	1.000000	0.529968	0.000000	
	1.000000	0.620845	0.000000	
	1.000000	0.289645	0.000000	
	1.000000	0.579064	0.000000	
	1.000000	0.624076	0.000000	
	1.000000	0.726767	0.000000	
	6.000000	0.510504	5.000000	
	1.000000	0.600991	0.000000	
	3.000000	0.439804	2.000000	
	3.000000	0.564630	2.000000	
	3.000000	0.620076	2.000000	
	3.000000	0.740657	2.000000	
	3.000000	0.637651	2.000000	
	8.000000	0.634667	7.000000	
	1.000000	0.472111	0.000000	
	1.000000	0.394854	0.000000	
	8.000000	0.628650	7.000000	
	6.000000	0.801122	5.000000	
	10.000000	0.540437	9.000000	
	3.000000	0.335599	2.000000	
	1.000000	0.746543	0.000000	
	1.000000	0.764542	0.000000	
	1.000000	0.649280	0.000000	
	1.000000	0.595050	0.000000	
	1.000000	0.416400	0.000000	
	6.000000	0.458851	5.000000	
	10.000000	0.540632	9.000000	
	11.000000	0.405238	10.000000	
	10.000000	0.615300	9.000000	
	10.000000	0.728140	9.000000	
	10.000000	0.566285	9.000000	
	5.000000	0.705167	4.000000	
	1.000000	0.660198	0.000000	
	6.000000	0.621072	5.000000	
	6.000000	0.639976	5.000000	
	6.000000	0.673805	5.000000	
	1.000000	0.651752	0.000000	
	1.000000	0.728070	0.000000	
	12.000000	0.350678	11.000000	
	10.000000	0.490038	9.000000	
	10.000000	0.653979	9.000000	
	10.000000	0.511714	9.000000	
	10.000000	0.530087	9.000000	
	8.000000	0.509463	7.000000	
	1.000000	0.607290	0.000000	
	10.000000	0.716027	9.000000	
	6.000000	0.451797	5.000000	
	6.000000	0.755288	5.000000	
	8.000000	0.580432	7.000000	
	8.000000	0.485113	7.000000	
	8.000000	0.629531	7.000000	
	8.000000	0.677852	7.000000	
	8.000000	0.480267	7.000000	
	1.000000	0.448995	0.000000	
	1.000000	0.447532	0.000000	
	6.000000	0.577880	5.000000	
	6.000000	0.767910	5.000000	
	1.000000	0.422903	0.000000	
	1.000000	0.682288	0.000000	
	10.000000	0.605387	9.000000	
	1.000000	0.645446	0.000000	
	6.000000	0.391667	5.000000	
	10.000000	0.417709	9.000000	
	6.000000	0.607628	5.000000	
	1.000000	0.367318	0.000000	
	8.000000	0.590151	7.000000	
	8.000000	0.703103	7.000000	
	1.000000	0.408900	0.000000	
	1.000000	0.622968	0.000000	
	1.000000	0.626635	0.000000	
	1.000000	0.640744	0.000000	
	5.000000	0.569532	4.000000	
	10.000000	0.491108	9.000000	
	9.000000	0.396481	8.000000	
	10.000000	0.597445	9.000000	
	10.000000	0.411455	9.000000	
	6.000000	0.746961	5.000000	
	8.000000	0.598019	7.000000	
	8.000000	0.452134	7.000000	
	8.000000	0.643497	7.000000	
	8.000000	0.650543	7.000000	
	1.000000	0.591615	0.000000	
	1.000000	0.726969	0.000000	
	1.000000	0.587228	0.000000	
	1.000000	0.585860	0.000000	
	1.000000	0.545714	0.000000	
	1.000000	0.728469	0.000000	
	1.000000	0.670678	0.000000	
	1.000000	0.651578	0.000000	
	1.000000	0.652822	0.000000	
	10.000000	0.566832	9.000000	
	8.000000	0.533496	7.000000	
	3.000000	0.634849	2.000000	
	3.000000	0.682174	2.000000	
	3.000000	0.737112	2.000000	
	8.000000	0.588332	7.000000	
	1.000000	0.515308	0.000000	
	1.000000	0.314320	0.000000	
	8.000000	0.472072	7.000000	
	6.000000	0.740562	5.000000	
	5.000000	0.463929	4.000000	
	3.000000	0.218363	2.000000	
	1.000000	0.788846	0.000000	
	1.000000	0.797604	0.000000	
	1.000000	0.806426	0.000000	
	1.000000	0.810891	0.000000	
	1.000000	0.728127	0.000000	
	1.000000	0.683374	0.000000	
	1.000000	0.556011	0.000000	
	1.000000	0.657950	0.000000	
	1.000000	0.709625	0.000000	
	1.000000	0.642872	0.000000	
	1.000000	0.655985	0.000000	
	1.000000	0.618234	0.000000	
	5.000000	0.656415	4.000000	
	10.000000	0.470456	9.000000	
	6.000000	0.678642	5.000000	
	6.000000	0.460610	5.000000	
	8.000000	0.476067	7.000000	
	1.000000	0.630415	0.000000	
	10.000000	0.711178	9.000000	
	1.000000	0.471306	0.000000	
	1.000000	0.661078	0.000000	
	1.000000	0.702658	0.000000	
	1.000000	0.746141	0.000000	
	1.000000	0.575521	0.000000	
	5.000000	0.582172	4.000000	
	1.000000	0.667302	0.000000	
	6.000000	0.562104	5.000000	
	6.000000	0.636711	5.000000	
	1.000000	0.607203	0.000000	
	1.000000	0.560503	0.000000	
	1.000000	0.593002	0.000000	
	1.000000	0.509151	0.000000	
	1.000000	0.691370	0.000000	
	1.000000	0.390952	0.000000	
	1.000000	0.592717	0.000000	
	1.000000	0.583875	0.000000	
	1.000000	0.613290	0.000000	
	1.000000	0.544269	0.000000	
	8.000000	0.373463	7.000000	
	10.000000	0.634736	9.000000	
