_Key	_Keyclarity	_Keystrength		
	8.000000	0.725702	7.000000	
	8.000000	0.677273	7.000000	
	3.000000	0.587981	2.000000	
	3.000000	0.585202	2.000000	
	3.000000	0.649445	2.000000	
	7.000000	0.681940	6.000000	
	12.000000	0.867075	11.000000	
	3.000000	0.636305	2.000000	
	3.000000	0.638727	2.000000	
	3.000000	0.632263	2.000000	
	7.000000	0.577184	6.000000	
	10.000000	0.602787	9.000000	
	3.000000	0.559658	2.000000	
	3.000000	0.514839	2.000000	
	3.000000	0.552337	2.000000	
	7.000000	0.534082	6.000000	
	2.000000	0.563721	1.000000	
	5.000000	0.566907	4.000000	
	12.000000	0.591481	11.000000	
	7.000000	0.635990	6.000000	
	12.000000	0.515252	11.000000	
	8.000000	0.550232	7.000000	
	3.000000	0.684335	2.000000	
	3.000000	0.666125	2.000000	
	3.000000	0.800184	2.000000	
	5.000000	0.529484	4.000000	
	12.000000	0.271724	11.000000	
	5.000000	0.722871	4.000000	
	3.000000	0.567718	2.000000	
	10.000000	0.328809	9.000000	
	7.000000	0.696837	6.000000	
	12.000000	0.373598	11.000000	
	10.000000	0.656252	9.000000	
	10.000000	0.659685	9.000000	
	10.000000	0.774416	9.000000	
	10.000000	0.642298	9.000000	
	3.000000	0.204225	2.000000	
	3.000000	0.525452	2.000000	
	3.000000	0.556807	2.000000	
	3.000000	0.503633	2.000000	
	3.000000	0.445287	2.000000	
	3.000000	0.587437	2.000000	
	3.000000	0.531334	2.000000	
	3.000000	0.581018	2.000000	
	3.000000	0.769047	2.000000	
	3.000000	0.444216	2.000000	
	3.000000	0.582337	2.000000	
	3.000000	0.693821	2.000000	
	8.000000	0.416531	7.000000	
	7.000000	0.646672	6.000000	
	10.000000	0.634592	9.000000	
	10.000000	0.639796	9.000000	
	3.000000	0.781462	2.000000	
	3.000000	0.583665	2.000000	
	12.000000	0.833613	11.000000	
	10.000000	0.502330	9.000000	
	10.000000	0.632722	9.000000	
	3.000000	0.644677	2.000000	
	8.000000	0.479919	7.000000	
	3.000000	0.645476	2.000000	
	10.000000	0.734835	9.000000	
