MIRtoolbox1.7	_Pitch_Mean	
song_file\0001071-IntermezzofromCavalleriarusticana.mp3	NaN	
	175.070210	
	218.587862	
	263.372612	
	263.257701	
	NaN	
	218.388014	
	291.110218	
	293.922841	
	175.203116	
	221.988514	
	196.493413	
	219.381021	
	174.463254	
	NaN	
	166.440503	
	147.388330	
	289.846749	
	294.070363	
	263.393372	
	232.391408	
	146.407631	
	NaN	
	234.264705	
	238.118109	
	175.010302	
	220.060798	
	220.418376	
	198.412585	
	175.499683	
	295.011866	
	294.888974	
	294.344999	
	262.381820	
	249.552842	
	221.660624	
	174.364816	
	175.470090	
	190.163042	
	110.250699	
	165.916569	
	NaN	
	165.962787	
	111.477777	
	255.930982	
	149.823842	
	NaN	
	111.487347	
	263.498019	
	252.992902	
	221.394975	
	166.950234	
	165.723821	
	167.009628	
	264.411399	
	262.324681	
	262.893181	
	259.473286	
	NaN	
	165.958520	
	154.806968	
	148.378175	
	249.591135	
	197.065188	
	131.748640	
	176.634154	
	111.282729	
	NaN	
	NaN	
	162.158300	
	165.261407	
	164.009674	
	159.827014	
	NaN	
	86.868863	
	220.348563	
	220.927115	
	260.472127	
	263.903333	
	264.420241	
	263.959237	
	180.820392	
	174.286837	
	173.820561	
	220.294997	
	223.345878	
	218.824315	
	221.174127	
	147.044694	
	294.290873	
	265.722381	
	99.307526	
	176.202883	
	221.689865	
	84.933306	
	197.533365	
	233.971784	
	297.392869	
	147.563428	
	221.340060	
	221.701112	
	264.302643	
	177.123152	
	215.980413	
	221.348764	
	220.517184	
	197.099580	
	NaN	
	175.234293	
	175.269460	
	175.239905	
	175.763765	
	175.774704	
	115.151461	
	293.307450	
	294.824651	
	295.848316	
	297.307444	
	280.960675	
	266.296259	
	100.027097	
	173.842519	
	NaN	
	222.315829	
	197.514707	
	221.121561	
	233.564843	
	234.721567	
	222.045110	
	147.391204	
	175.459393	
	175.458522	
	174.913973	
	165.725289	
	165.851156	
	165.406256	
	174.498176	
	176.019298	
	195.379973	
	195.436668	
	221.797312	
	1059.581277	
	260.628505	
	289.876960	
	343.540627	
	345.449837	
	344.157984	
	345.288179	
	351.921994	
	345.881577	
	351.206616	
	335.648492	
	294.332979	
	NaN	
	222.158302	
	261.876052	
	263.696985	
	166.206901	
	174.090955	
	174.788104	
	172.818801	
	173.557220	
	173.489095	
	177.406672	
	322.672867	
	350.333913	
	354.349516	
	349.447605	
	350.583624	
	352.993850	
	346.907608	
	348.616611	
	349.954139	
	352.188260	
	349.527088	
	117.599562	
	347.668940	
	349.863766	
	344.181058	
	114.592161	
	357.245771	
	352.277355	
	350.753091	
	353.187518	
	346.330968	
	352.165957	
	354.916273	
	354.149152	
	343.955457	
	221.466986	
	263.533405	
	166.315224	
	87.372576	
	175.295988	
	81.703690	
	175.062866	
	177.865362	
	314.721611	
	350.745924	
	352.454048	
	351.949552	
	351.394227	
	350.270605	
	350.141363	
	351.289047	
	352.554049	
	349.133851	
	351.956056	
	355.511097	
	350.224577	
	NaN	
	351.452156	
	349.464126	
	345.877326	
	350.198380	
	350.576092	
	349.231243	
	352.426968	
	346.482204	
	NaN	
	98.503599	
	NaN	
	350.605764	
	NaN	
	354.507621	
	331.603370	
	294.775956	
	293.838839	
	NaN	
	220.439384	
	221.722430	
	265.432300	
	265.884780	
	265.748516	
	178.097596	
	166.896726	
	87.690242	
	176.121866	
	174.723545	
	164.811291	
	174.492903	
	176.802810	
	200.865464	
	223.176625	
	NaN	
	175.269585	
	NaN	
	295.647102	
	291.883246	
	293.145968	
	297.299170	
	293.132314	
	293.604170	
	299.122094	
	221.404935	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	88.264990	
