_Key	_Keyclarity	_Keystrength		
	1.000000	0.000000	0.000000	
	3.000000	0.484251	2.000000	
	6.000000	0.490019	5.000000	
	11.000000	0.300415	10.000000	
	11.000000	0.657215	10.000000	
	11.000000	0.654216	10.000000	
	11.000000	0.617745	10.000000	
	11.000000	0.625978	10.000000	
	11.000000	0.740434	10.000000	
	11.000000	0.733259	10.000000	
	11.000000	0.695571	10.000000	
	11.000000	0.729431	10.000000	
	11.000000	0.651063	10.000000	
	4.000000	0.727980	3.000000	
	8.000000	0.694310	7.000000	
	11.000000	0.596373	10.000000	
	8.000000	0.619284	7.000000	
	11.000000	0.652445	10.000000	
	1.000000	0.557104	0.000000	
	4.000000	0.580697	3.000000	
	1.000000	0.640356	0.000000	
	4.000000	0.509610	3.000000	
	4.000000	0.481921	3.000000	
	4.000000	0.329777	3.000000	
	8.000000	0.478803	7.000000	
	1.000000	0.767369	0.000000	
	4.000000	0.429709	3.000000	
	1.000000	0.474138	0.000000	
	1.000000	0.467699	0.000000	
	10.000000	0.577015	9.000000	
	6.000000	0.758996	5.000000	
	3.000000	0.665227	2.000000	
	10.000000	0.698487	9.000000	
	1.000000	0.400387	0.000000	
	8.000000	0.442199	7.000000	
	8.000000	0.488998	7.000000	
	4.000000	0.746011	3.000000	
	1.000000	0.471459	0.000000	
	4.000000	0.756498	3.000000	
	4.000000	0.451099	3.000000	
	4.000000	0.671857	3.000000	
	8.000000	0.443896	7.000000	
	11.000000	0.541493	10.000000	
	4.000000	0.497207	3.000000	
	4.000000	0.513137	3.000000	
	4.000000	0.406357	3.000000	
	6.000000	0.330599	5.000000	
	6.000000	0.778730	5.000000	
	6.000000	0.451302	5.000000	
	10.000000	0.609555	9.000000	
	1.000000	0.164565	0.000000	
	4.000000	0.599668	3.000000	
	4.000000	0.524881	3.000000	
	1.000000	0.814304	0.000000	
	4.000000	0.463791	3.000000	
	1.000000	0.649034	0.000000	
	4.000000	0.551122	3.000000	
	9.000000	0.520791	8.000000	
	2.000000	0.297369	1.000000	
	10.000000	0.551061	9.000000	
	11.000000	0.567284	10.000000	
	4.000000	0.574195	3.000000	
	9.000000	0.328727	8.000000	
	9.000000	0.564589	8.000000	
	9.000000	0.799155	8.000000	
	9.000000	0.398822	8.000000	
	9.000000	0.564078	8.000000	
	9.000000	0.611073	8.000000	
	9.000000	0.589769	8.000000	
	3.000000	0.383123	2.000000	
	6.000000	0.478036	5.000000	
	7.000000	0.278501	6.000000	
	8.000000	0.627186	7.000000	
	8.000000	0.522076	7.000000	
	5.000000	0.465871	4.000000	
	11.000000	0.438209	10.000000	
	4.000000	0.446131	3.000000	
	11.000000	0.271088	10.000000	
	11.000000	0.543633	10.000000	
	1.000000	0.313519	0.000000	
	9.000000	0.691038	8.000000	
	9.000000	0.761025	8.000000	
	9.000000	0.294290	8.000000	
	3.000000	0.321882	2.000000	
	10.000000	0.391271	9.000000	
	11.000000	0.351694	10.000000	
	4.000000	0.438522	3.000000	
	4.000000	0.782143	3.000000	
	1.000000	0.512376	0.000000	
	1.000000	0.725673	0.000000	
	4.000000	0.531866	3.000000	
	1.000000	0.643345	0.000000	
	4.000000	0.530845	3.000000	
	4.000000	0.695397	3.000000	
	7.000000	0.502777	6.000000	
	6.000000	0.601049	5.000000	
	6.000000	0.577721	5.000000	
	8.000000	0.674727	7.000000	
	1.000000	0.536643	0.000000	
	1.000000	0.538464	0.000000	
	9.000000	0.650259	8.000000	
	2.000000	0.601829	1.000000	
	9.000000	0.552793	8.000000	
	8.000000	0.666753	7.000000	
	11.000000	0.497243	10.000000	
	11.000000	0.418764	10.000000	
	11.000000	0.721478	10.000000	
	11.000000	0.887218	10.000000	
	11.000000	0.720423	10.000000	
	11.000000	0.790534	10.000000	
	11.000000	0.733280	10.000000	
	11.000000	0.662011	10.000000	
	4.000000	0.523094	3.000000	
	1.000000	0.348443	0.000000	
	4.000000	0.660745	3.000000	
	1.000000	0.571925	0.000000	
	4.000000	0.469048	3.000000	
	1.000000	0.579397	0.000000	
	1.000000	0.519386	0.000000	
	8.000000	0.489169	7.000000	
	4.000000	0.451960	3.000000	
	4.000000	0.589001	3.000000	
	1.000000	0.504421	0.000000	
	4.000000	0.664643	3.000000	
	2.000000	0.282784	1.000000	
	11.000000	0.573078	10.000000	
	5.000000	0.321087	4.000000	
	8.000000	0.681424	7.000000	
	4.000000	0.186916	3.000000	
	10.000000	0.439504	9.000000	
	9.000000	0.411440	8.000000	
	9.000000	0.635231	8.000000	
	4.000000	0.661322	3.000000	
	1.000000	0.375647	0.000000	
	1.000000	0.699457	0.000000	
	1.000000	0.708242	0.000000	
	8.000000	0.670949	7.000000	
	4.000000	0.572648	3.000000	
	4.000000	0.762396	3.000000	
	1.000000	0.611682	0.000000	
	4.000000	0.587469	3.000000	
	4.000000	0.578100	3.000000	
	1.000000	0.550543	0.000000	
	4.000000	0.449180	3.000000	
	10.000000	0.341046	9.000000	
	6.000000	0.403785	5.000000	
	6.000000	0.632182	5.000000	
	2.000000	0.432888	1.000000	
	8.000000	0.650615	7.000000	
	1.000000	0.460020	0.000000	
	1.000000	0.530491	0.000000	
	1.000000	0.561751	0.000000	
	9.000000	0.408783	8.000000	
	9.000000	0.668813	8.000000	
	3.000000	0.701072	2.000000	
	12.000000	0.213796	11.000000	
	5.000000	0.238308	4.000000	
	11.000000	0.472563	10.000000	
	11.000000	0.470058	10.000000	
	11.000000	0.526343	10.000000	
	11.000000	0.550342	10.000000	
	11.000000	0.503833	10.000000	
	2.000000	0.270719	1.000000	
	3.000000	0.622943	2.000000	
	11.000000	0.443380	10.000000	
	4.000000	0.611113	3.000000	
	4.000000	0.682329	3.000000	
	4.000000	0.524044	3.000000	
	9.000000	0.649245	8.000000	
	1.000000	0.546708	0.000000	
	1.000000	0.764414	0.000000	
	4.000000	0.349538	3.000000	
	1.000000	0.737238	0.000000	
