MIRtoolbox1.7	_Pitch_Mean	
song_file\0001718-¤Ñ²PªÚ¯ó.mp3	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	725.763930	
	NaN	
	104.364962	
	115.121720	
	NaN	
	NaN	
	358.643835	
	344.686883	
	375.830168	
	593.871937	
	NaN	
	413.365760	
	463.320233	
	430.029898	
	387.755531	
	NaN	
	NaN	
	NaN	
	NaN	
	352.368631	
	359.042595	
	344.506454	
	NaN	
	358.308523	
	323.107183	
	87.453902	
	87.240771	
	318.995346	
	NaN	
	NaN	
	196.226575	
	NaN	
	NaN	
	129.703513	
	262.717085	
	258.319444	
	352.522049	
	NaN	
	381.397969	
	NaN	
	381.200711	
	460.039492	
	490.226587	
	413.113301	
	420.664252	
	450.316249	
	387.932076	
	715.363879	
	353.156970	
	898.970174	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	888.441711	
	78.521573	
	408.656746	
	382.599508	
	463.441883	
	471.470744	
	405.214908	
	406.330453	
	NaN	
	615.847599	
	393.294182	
	NaN	
	NaN	
	396.038993	
	481.946313	
	1023.144486	
	517.079228	
	522.240710	
	776.749223	
	NaN	
	394.263006	
	512.983747	
	399.044634	
	416.579352	
	350.825690	
	NaN	
	520.583192	
	526.116215	
	361.596121	
	409.188985	
	NaN	
	NaN	
	388.322590	
	NaN	
	363.301680	
	207.802858	
	370.964342	
	353.210380	
	450.844582	
	449.801510	
	439.788478	
	410.337438	
	344.883784	
	343.856989	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	339.616185	
	NaN	
	343.082233	
	NaN	
	310.202767	
	351.773238	
	365.515465	
	378.176675	
	384.207261	
	398.870825	
	984.352741	
	NaN	
	826.422935	
	454.842787	
	930.509401	
	473.652431	
	959.496849	
	476.058208	
	990.521448	
	1036.399689	
	459.065815	
	472.011037	
	455.372148	
	NaN	
	908.087525	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	401.822956	
	NaN	
	422.733619	
	NaN	
	NaN	
	NaN	
	345.500940	
	346.298676	
	305.138003	
	NaN	
	NaN	
	NaN	
	320.481591	
	NaN	
	NaN	
	615.681329	
	688.790315	
	741.570649	
	710.642808	
	682.810036	
	682.904645	
	747.103062	
	823.122413	
	851.193244	
	875.101942	
	908.180374	
	928.350364	
	931.290451	
	906.415749	
	941.658134	
	NaN	
	866.102862	
	841.385556	
	804.675544	
	NaN	
	644.728994	
	636.289803	
	638.316901	
	582.148371	
	NaN	
	614.189843	
	522.109312	
	488.963202	
	512.318723	
	520.729592	
	NaN	
	696.790418	
	610.622826	
	104.112009	
	NaN	
	87.659607	
	NaN	
	NaN	
	87.548425	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	98.530192	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	86.812452	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	361.113700	
	NaN	
	NaN	
	NaN	
	NaN	
	351.816745	
	87.593693	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	227.857491	
	312.505229	
	350.090239	
	347.135429	
	367.163086	
	408.116407	
	462.032655	
	431.258546	
	441.973465	
	394.837518	
	671.134109	
	NaN	
	NaN	
	367.592125	
	NaN	
	346.558699	
	351.265450	
	NaN	
	345.734682	
	NaN	
	NaN	
	354.176809	
	388.095223	
	362.046320	
	NaN	
	NaN	
	88.022353	
	NaN	
	311.344743	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	194.491015	
	NaN	
	NaN	
	NaN	
	261.734886	
	266.907103	
	350.146553	
	NaN	
	361.906077	
	NaN	
	NaN	
	NaN	
	674.702698	
	NaN	
	397.126195	
	NaN	
	467.828905	
	467.291601	
	940.746248	
	NaN	
	87.089534	
	454.634757	
	411.629555	
	NaN	
	711.439813	
	652.681333	
	NaN	
	NaN	
	NaN	
	878.968358	
	846.528365	
	859.847351	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	440.264327	
	398.071969	
	396.302205	
	464.522711	
	501.583537	
	806.331319	
	428.463939	
	459.961700	
	419.386339	
	466.861345	
