_Key	_Keyclarity	_Keystrength		
	7.000000	0.613374	6.000000	
	12.000000	0.747486	11.000000	
	12.000000	0.781448	11.000000	
	12.000000	0.636624	11.000000	
	12.000000	0.856297	11.000000	
	12.000000	0.790572	11.000000	
	10.000000	0.725593	9.000000	
	5.000000	0.758682	4.000000	
	5.000000	0.669918	4.000000	
	5.000000	0.561071	4.000000	
	5.000000	0.681704	4.000000	
	3.000000	0.708456	2.000000	
	3.000000	0.674705	2.000000	
	2.000000	0.642079	1.000000	
	2.000000	0.836369	1.000000	
	2.000000	0.641774	1.000000	
	5.000000	0.661325	4.000000	
	3.000000	0.680098	2.000000	
	5.000000	0.515208	4.000000	
	7.000000	0.683399	6.000000	
	7.000000	0.706544	6.000000	
	7.000000	0.665130	6.000000	
	7.000000	0.725183	6.000000	
	7.000000	0.631322	6.000000	
	7.000000	0.805871	6.000000	
	12.000000	0.791410	11.000000	
	12.000000	0.769722	11.000000	
	12.000000	0.731779	11.000000	
	10.000000	0.738206	9.000000	
	3.000000	0.749611	2.000000	
	5.000000	0.604236	4.000000	
	12.000000	0.657162	11.000000	
	12.000000	0.659919	11.000000	
	12.000000	0.639566	11.000000	
	5.000000	0.324936	4.000000	
	12.000000	0.687387	11.000000	
	7.000000	0.614121	6.000000	
	3.000000	0.426401	2.000000	
	12.000000	0.404454	11.000000	
	12.000000	0.761654	11.000000	
	10.000000	0.610498	9.000000	
	10.000000	0.644418	9.000000	
	10.000000	0.668091	9.000000	
	12.000000	0.535632	11.000000	
	12.000000	0.774473	11.000000	
	12.000000	0.728511	11.000000	
	12.000000	0.621870	11.000000	
	12.000000	0.688804	11.000000	
	12.000000	0.595863	11.000000	
	10.000000	0.730178	9.000000	
	5.000000	0.465443	4.000000	
	12.000000	0.455229	11.000000	
	3.000000	0.577420	2.000000	
	12.000000	0.377523	11.000000	
	12.000000	0.570130	11.000000	
	3.000000	0.747734	2.000000	
	7.000000	0.876688	6.000000	
	7.000000	0.772714	6.000000	
	7.000000	0.610568	6.000000	
	7.000000	0.573601	6.000000	
	7.000000	0.610562	6.000000	
	5.000000	0.445046	4.000000	
	5.000000	0.572337	4.000000	
	5.000000	0.799341	4.000000	
	12.000000	0.751863	11.000000	
	12.000000	0.606543	11.000000	
	7.000000	0.682216	6.000000	
	7.000000	0.827007	6.000000	
	10.000000	0.854493	9.000000	
	7.000000	0.694304	6.000000	
	7.000000	0.717827	6.000000	
	7.000000	0.604218	6.000000	
	12.000000	0.712528	11.000000	
	7.000000	0.467683	6.000000	
	12.000000	0.370966	11.000000	
	12.000000	0.550481	11.000000	
	12.000000	0.688879	11.000000	
	8.000000	0.571413	7.000000	
	12.000000	0.508890	11.000000	
	12.000000	0.470401	11.000000	
	12.000000	0.701410	11.000000	
	12.000000	0.554957	11.000000	
	12.000000	0.635122	11.000000	
	5.000000	0.512474	4.000000	
	12.000000	0.570271	11.000000	
	12.000000	0.559086	11.000000	
	12.000000	0.642575	11.000000	
	10.000000	0.784513	9.000000	
	12.000000	0.533553	11.000000	
	12.000000	0.553876	11.000000	
	12.000000	0.523654	11.000000	
	12.000000	0.565183	11.000000	
	3.000000	0.482350	2.000000	
	10.000000	0.694750	9.000000	
