_Key	_Keyclarity	_Keystrength		
	1.000000	0.000000	0.000000	
	9.000000	0.451717	8.000000	
	9.000000	0.634229	8.000000	
	9.000000	0.741056	8.000000	
	9.000000	0.703686	8.000000	
	6.000000	0.586512	5.000000	
	6.000000	0.782975	5.000000	
	6.000000	0.608675	5.000000	
	6.000000	0.702235	5.000000	
	1.000000	0.697084	0.000000	
	1.000000	0.810149	0.000000	
	1.000000	0.916644	0.000000	
	1.000000	0.885240	0.000000	
	1.000000	0.761772	0.000000	
	1.000000	0.754556	0.000000	
	1.000000	0.651720	0.000000	
	1.000000	0.668639	0.000000	
	2.000000	0.613194	1.000000	
	6.000000	0.664340	5.000000	
	6.000000	0.704898	5.000000	
	9.000000	0.440203	8.000000	
	4.000000	0.814788	3.000000	
	4.000000	0.742938	3.000000	
	11.000000	0.545868	10.000000	
	9.000000	0.503940	8.000000	
	9.000000	0.613450	8.000000	
	9.000000	0.727853	8.000000	
	9.000000	0.683940	8.000000	
	9.000000	0.726814	8.000000	
	9.000000	0.638510	8.000000	
	9.000000	0.848603	8.000000	
	4.000000	0.346822	3.000000	
	9.000000	0.251521	8.000000	
	9.000000	0.360296	8.000000	
	9.000000	0.637892	8.000000	
	9.000000	0.378447	8.000000	
	11.000000	0.367664	10.000000	
	6.000000	0.558843	5.000000	
	1.000000	0.630546	0.000000	
	6.000000	0.515883	5.000000	
	1.000000	0.563714	0.000000	
	1.000000	0.568540	0.000000	
	3.000000	0.152105	2.000000	
	1.000000	0.363419	0.000000	
	1.000000	0.359203	0.000000	
	1.000000	0.663019	0.000000	
	4.000000	0.686086	3.000000	
	4.000000	0.553072	3.000000	
	6.000000	0.745499	5.000000	
	4.000000	0.593389	3.000000	
	9.000000	0.671324	8.000000	
	11.000000	0.592964	10.000000	
	1.000000	0.443725	0.000000	
	11.000000	0.488889	10.000000	
	9.000000	0.759292	8.000000	
	4.000000	0.727154	3.000000	
	11.000000	0.516524	10.000000	
	4.000000	0.569567	3.000000	
	4.000000	0.745288	3.000000	
	4.000000	0.673797	3.000000	
	11.000000	0.763606	10.000000	
	9.000000	0.447582	8.000000	
	9.000000	0.543210	8.000000	
	9.000000	0.466570	8.000000	
	9.000000	0.447715	8.000000	
	6.000000	0.627908	5.000000	
	6.000000	0.433865	5.000000	
	1.000000	0.611976	0.000000	
	6.000000	0.580546	5.000000	
	1.000000	0.633450	0.000000	
	1.000000	0.629145	0.000000	
	1.000000	0.595065	0.000000	
	1.000000	0.751379	0.000000	
	1.000000	0.694368	0.000000	
	1.000000	0.683851	0.000000	
	1.000000	0.583110	0.000000	
	9.000000	0.521416	8.000000	
	6.000000	0.603748	5.000000	
	9.000000	0.513557	8.000000	
	9.000000	0.416336	8.000000	
	4.000000	0.509062	3.000000	
	1.000000	0.454647	0.000000	
	6.000000	0.636319	5.000000	
	9.000000	0.477790	8.000000	
	9.000000	0.567240	8.000000	
	9.000000	0.710392	8.000000	
	9.000000	0.810419	8.000000	
	9.000000	0.553739	8.000000	
	9.000000	0.565480	8.000000	
	9.000000	0.544144	8.000000	
	9.000000	0.453039	8.000000	
	6.000000	0.285827	5.000000	
	6.000000	0.554324	5.000000	
	9.000000	0.649471	8.000000	
	3.000000	0.240796	2.000000	
	11.000000	0.508299	10.000000	
	11.000000	0.460878	10.000000	
	9.000000	0.427170	8.000000	
	11.000000	0.537119	10.000000	
	11.000000	0.387177	10.000000	
	2.000000	0.439564	1.000000	
	4.000000	0.459595	3.000000	
	4.000000	0.357877	3.000000	
	2.000000	0.335223	1.000000	
	4.000000	0.423863	3.000000	
	6.000000	0.523231	5.000000	
	6.000000	0.491943	5.000000	
	6.000000	0.796722	5.000000	
	6.000000	0.826561	5.000000	
	11.000000	0.420885	10.000000	
	11.000000	0.616084	10.000000	
	9.000000	0.590232	8.000000	
	11.000000	0.526026	10.000000	
	11.000000	0.552176	10.000000	
	11.000000	0.508264	10.000000	
	11.000000	0.425656	10.000000	
	11.000000	0.468703	10.000000	
	4.000000	0.498730	3.000000	
	11.000000	0.386455	10.000000	
	4.000000	0.514021	3.000000	
	11.000000	0.481587	10.000000	
	1.000000	0.474749	0.000000	
	1.000000	0.560860	0.000000	
	4.000000	0.506763	3.000000	
	9.000000	0.369965	8.000000	
	11.000000	0.386692	10.000000	
	11.000000	0.277602	10.000000	
	8.000000	0.544674	7.000000	
	6.000000	0.481458	5.000000	
	6.000000	0.576717	5.000000	
	6.000000	0.559858	5.000000	
	6.000000	0.526566	5.000000	
	1.000000	0.756664	0.000000	
	1.000000	0.596715	0.000000	
	1.000000	0.696707	0.000000	
	4.000000	0.547595	3.000000	
	2.000000	0.526750	1.000000	
	2.000000	0.421379	1.000000	
	2.000000	0.763807	1.000000	
	9.000000	0.361961	8.000000	
	4.000000	0.405510	3.000000	
	11.000000	0.618246	10.000000	
	11.000000	0.539661	10.000000	
	6.000000	0.708765	5.000000	
	9.000000	0.645701	8.000000	
	9.000000	0.829996	8.000000	
	9.000000	0.758713	8.000000	
	9.000000	0.719358	8.000000	
	9.000000	0.645037	8.000000	
	9.000000	0.573773	8.000000	
	9.000000	0.396078	8.000000	
	9.000000	0.659639	8.000000	
	9.000000	0.742599	8.000000	
	9.000000	0.692865	8.000000	
	6.000000	0.732939	5.000000	
	6.000000	0.747229	5.000000	
	1.000000	0.696796	0.000000	
	6.000000	0.807463	5.000000	
	1.000000	0.752658	0.000000	
	1.000000	0.714183	0.000000	
	1.000000	0.880122	0.000000	
	1.000000	0.921828	0.000000	
	1.000000	0.840143	0.000000	
	1.000000	0.673449	0.000000	
	1.000000	0.691527	0.000000	
	6.000000	0.607366	5.000000	
	2.000000	0.808930	1.000000	
	6.000000	0.848481	5.000000	
	2.000000	0.818318	1.000000	
	9.000000	0.442500	8.000000	
	4.000000	0.708136	3.000000	
	1.000000	0.704829	0.000000	
	11.000000	0.764766	10.000000	
	9.000000	0.559375	8.000000	
	9.000000	0.696089	8.000000	
	9.000000	0.789628	8.000000	
	9.000000	0.800459	8.000000	
	9.000000	0.657675	8.000000	
	9.000000	0.741469	8.000000	
	6.000000	0.522870	5.000000	
	9.000000	0.493949	8.000000	
	9.000000	0.455446	8.000000	
	9.000000	0.382671	8.000000	
	9.000000	0.619751	8.000000	
	4.000000	0.381893	3.000000	
	6.000000	0.252135	5.000000	
	1.000000	0.387161	0.000000	
	10.000000	0.329605	9.000000	
	1.000000	0.584202	0.000000	
	1.000000	0.538698	0.000000	
	8.000000	0.378108	7.000000	
	8.000000	0.217910	7.000000	
	1.000000	0.434815	0.000000	
	1.000000	0.470233	0.000000	
	1.000000	0.728615	0.000000	
	4.000000	0.566914	3.000000	
	6.000000	0.599335	5.000000	
	6.000000	0.774700	5.000000	
	9.000000	0.599472	8.000000	
	11.000000	0.528727	10.000000	
	11.000000	0.554819	10.000000	
	11.000000	0.449400	10.000000	
	9.000000	0.527512	8.000000	
	4.000000	0.604296	3.000000	
	11.000000	0.662445	10.000000	
	11.000000	0.487119	10.000000	
	11.000000	0.522115	10.000000	
	4.000000	0.725918	3.000000	
	4.000000	0.583579	3.000000	
	4.000000	0.749301	3.000000	
	9.000000	0.490189	8.000000	
	9.000000	0.528230	8.000000	
	9.000000	0.551761	8.000000	
	9.000000	0.431995	8.000000	
	6.000000	0.588454	5.000000	
	1.000000	0.430994	0.000000	
	1.000000	0.575603	0.000000	
	6.000000	0.498049	5.000000	
	1.000000	0.717800	0.000000	
	4.000000	0.404893	3.000000	
	1.000000	0.448165	0.000000	
	1.000000	0.730599	0.000000	
	1.000000	0.648944	0.000000	
	1.000000	0.677086	0.000000	
	1.000000	0.684062	0.000000	
