MIRtoolbox1.7	_Pitch_Mean	
song_file\0001728-¤p¯ó.mp3	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	389.652417	
	374.892315	
	377.091564	
	374.683673	
	333.831525	
	334.293701	
	333.564984	
	333.654715	
	333.965058	
	NaN	
	NaN	
	NaN	
	398.381914	
	397.519633	
	395.852017	
	391.066549	
	378.452442	
	376.234841	
	375.410080	
	334.173255	
	334.596299	
	333.422558	
	333.884380	
	NaN	
	NaN	
	NaN	
	NaN	
	111.515264	
	396.159282	
	393.999938	
	393.746074	
	375.666676	
	297.731651	
	NaN	
	297.087954	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	205.682567	
	NaN	
	251.125143	
	NaN	
	NaN	
	NaN	
	248.548899	
	NaN	
	NaN	
	249.167421	
	998.938968	
	252.263813	
	NaN	
	NaN	
	223.186753	
	226.034245	
	227.226433	
	224.044495	
	945.473459	
	NaN	
	960.661952	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	220.534612	
	976.456118	
	NaN	
	220.785830	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	247.493346	
	NaN	
	250.088165	
	NaN	
	NaN	
	250.493676	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	196.055361	
	NaN	
	NaN	
	NaN	
	NaN	
	334.712479	
	NaN	
	NaN	
	NaN	
	698.531217	
	697.086576	
	NaN	
	NaN	
	245.780045	
	249.852250	
	250.756588	
	NaN	
	NaN	
	222.081633	
	220.532555	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	197.825188	
	NaN	
	187.095443	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	166.928631	
	NaN	
	NaN	
	165.694378	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	299.194076	
	660.626148	
	NaN	
	655.282952	
	340.534013	
	340.083767	
	199.066106	
	NaN	
	198.352334	
	NaN	
	NaN	
	NaN	
	NaN	
	260.633512	
	245.537774	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	196.538929	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	164.986686	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	369.856319	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	334.680903	
	NaN	
	NaN	
	NaN	
	326.923559	
	NaN	
	NaN	
	NaN	
	NaN	
	198.190808	
	NaN	
	332.738625	
	NaN	
	NaN	
	NaN	
	335.430350	
	NaN	
	376.898136	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	441.901981	
	441.673367	
	NaN	
	446.381897	
	NaN	
	NaN	
	NaN	
	148.875250	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	211.024689	
	NaN	
	250.560442	
	251.819007	
	NaN	
	251.928152	
	251.486168	
	NaN	
	NaN	
	250.633215	
	253.298435	
	252.345918	
	298.634128	
	NaN	
	223.613097	
	219.850480	
	222.496524	
	221.471702	
	222.798245	
	223.513495	
	NaN	
	NaN	
	NaN	
	NaN	
	220.636127	
	223.349566	
	974.379454	
	221.002419	
	NaN	
	NaN	
	220.438366	
	222.512029	
	199.200567	
	201.537941	
	398.847039	
	252.212225	
	393.403567	
	NaN	
	188.810912	
	NaN	
	99.630372	
	NaN	
	NaN	
	198.818518	
	NaN	
	NaN	
	NaN	
	NaN	
	336.227067	
	NaN	
	NaN	
	NaN	
	NaN	
	335.731926	
	665.855273	
	338.338649	
	NaN	
	NaN	
	251.962330	
	NaN	
	NaN	
	NaN	
	223.988953	
	NaN	
	221.667839	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	199.761656	
	199.349063	
	NaN	
	191.736246	
	NaN	
	149.723579	
	150.071793	
	167.037172	
	NaN	
	165.938792	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	844.937147	
	NaN	
	334.287168	
	NaN	
	NaN	
	NaN	
	NaN	
	344.488175	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	264.125987	
	254.284691	
	NaN	
	NaN	
	NaN	
	NaN	
	216.981932	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	199.080708	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	167.329311	
