MIRtoolbox1.7	_Pitch_Mean	
song_file\0001949-¨k¨à«sºq.mp3	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	115.591046	
	675.669724	
	293.858881	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	456.955062	
	NaN	
	173.490830	
	NaN	
	NaN	
	NaN	
	NaN	
	88.622762	
	449.118096	
	576.013702	
	553.622491	
	195.698714	
	468.274190	
	NaN	
	174.098512	
	169.921338	
	142.376181	
	176.333172	
	NaN	
	NaN	
	147.240392	
	NaN	
	176.166552	
	NaN	
	146.891859	
	NaN	
	115.168353	
	NaN	
	NaN	
	NaN	
	114.577953	
	NaN	
	446.052311	
	129.037940	
	NaN	
	175.735781	
	144.072209	
	NaN	
	NaN	
	233.719580	
	195.381043	
	231.272630	
	259.700879	
	261.404926	
	NaN	
	572.108486	
	580.566030	
	NaN	
	231.210354	
	NaN	
	NaN	
	611.930537	
	261.072466	
	269.820631	
	NaN	
	259.794747	
	261.882281	
	265.101104	
	261.437991	
	298.935180	
	232.876945	
	NaN	
	198.569783	
	193.033381	
	468.003745	
	NaN	
	NaN	
	NaN	
	NaN	
	124.906708	
	NaN	
	97.988992	
	115.760451	
	114.932426	
	583.799058	
	581.097868	
	451.565418	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	700.967189	
	NaN	
	NaN	
	140.458432	
	556.005344	
	NaN	
	175.976883	
	146.451056	
	231.640050	
	227.912338	
	168.729835	
	478.509949	
	341.250008	
	NaN	
	424.417596	
	NaN	
	622.551892	
	190.952064	
	170.797935	
	174.831146	
	NaN	
	87.870939	
	NaN	
	585.636016	
	481.197520	
	NaN	
	NaN	
	174.393125	
	145.552031	
	429.942612	
	114.778325	
	NaN	
	234.334117	
	198.201830	
	234.772811	
	262.655488	
	403.008436	
	NaN	
	NaN	
	231.035611	
	294.677335	
	NaN	
	281.004613	
	290.743193	
	NaN	
	261.460754	
	265.817272	
	NaN	
	NaN	
	297.799112	
	234.849794	
	243.612331	
	NaN	
	233.675658	
	174.603591	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	116.403095	
	511.263692	
	NaN	
	291.984018	
	NaN	
	721.996258	
	705.565422	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	702.144149	
	689.528773	
	706.539646	
	472.253352	
	468.271629	
	472.143581	
	465.661764	
	469.072056	
	468.719097	
	437.762288	
	NaN	
	NaN	
	515.736328	
	NaN	
	NaN	
	NaN	
	NaN	
	457.271736	
	NaN	
	NaN	
	NaN	
	514.031467	
	NaN	
	619.560107	
	NaN	
	NaN	
	454.527423	
	NaN	
	NaN	
	176.401747	
	NaN	
	229.507916	
	177.738580	
	173.684312	
	NaN	
	NaN	
	NaN	
	NaN	
	176.290122	
	NaN	
	NaN	
	87.784265	
	NaN	
	234.238153	
	NaN	
	230.074240	
	228.810155	
	264.308878	
	256.823484	
	532.509069	
	198.180482	
	NaN	
	NaN	
	NaN	
	292.739963	
	296.723256	
	297.445204	
	263.024877	
	271.705434	
	293.011308	
	235.398880	
	195.914229	
	622.758553	
	NaN	
	NaN	
	423.322003	
	115.187994	
	516.442907	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	463.219991	
	348.805496	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
	NaN	
