_Key	_Keyclarity	_Keystrength		
	8.000000	0.753726	7.000000	
	8.000000	0.741015	7.000000	
	8.000000	0.742153	7.000000	
	8.000000	0.743843	7.000000	
	8.000000	0.745575	7.000000	
	8.000000	0.747611	7.000000	
	8.000000	0.691241	7.000000	
	8.000000	0.701241	7.000000	
	8.000000	0.710921	7.000000	
	8.000000	0.708340	7.000000	
	8.000000	0.706593	7.000000	
	8.000000	0.701412	7.000000	
	8.000000	0.742807	7.000000	
	8.000000	0.743731	7.000000	
	8.000000	0.738659	7.000000	
	8.000000	0.741259	7.000000	
	8.000000	0.745579	7.000000	
	8.000000	0.745690	7.000000	
	8.000000	0.745685	7.000000	
	3.000000	0.808390	2.000000	
	3.000000	0.814197	2.000000	
	3.000000	0.824563	2.000000	
	3.000000	0.821794	2.000000	
	3.000000	0.824940	2.000000	
	3.000000	0.826386	2.000000	
	12.000000	0.741584	11.000000	
	12.000000	0.780789	11.000000	
	8.000000	0.871649	7.000000	
	8.000000	0.860406	7.000000	
	8.000000	0.860969	7.000000	
	8.000000	0.881337	7.000000	
	8.000000	0.871956	7.000000	
	3.000000	0.768276	2.000000	
	3.000000	0.810742	2.000000	
	3.000000	0.825794	2.000000	
	8.000000	0.780788	7.000000	
	8.000000	0.870161	7.000000	
	8.000000	0.868034	7.000000	
	8.000000	0.832120	7.000000	
	8.000000	0.784383	7.000000	
	8.000000	0.824938	7.000000	
	8.000000	0.836680	7.000000	
	5.000000	0.834143	4.000000	
	5.000000	0.933018	4.000000	
	5.000000	0.887848	4.000000	
	1.000000	0.781557	0.000000	
	10.000000	0.634706	9.000000	
	3.000000	0.851178	2.000000	
	8.000000	0.796626	7.000000	
	8.000000	0.795760	7.000000	
	8.000000	0.834835	7.000000	
	8.000000	0.832155	7.000000	
	8.000000	0.832817	7.000000	
	8.000000	0.835007	7.000000	
	8.000000	0.773013	7.000000	
	8.000000	0.644683	7.000000	
	8.000000	0.441039	7.000000	
	8.000000	0.710684	7.000000	
	12.000000	0.676019	11.000000	
	12.000000	0.616201	11.000000	
	8.000000	0.508179	7.000000	
	8.000000	0.375836	7.000000	
	5.000000	0.813362	4.000000	
	5.000000	0.641149	4.000000	
	5.000000	0.633645	4.000000	
	5.000000	0.614264	4.000000	
	5.000000	0.607714	4.000000	
	8.000000	0.677561	7.000000	
	8.000000	0.497191	7.000000	
	8.000000	0.521345	7.000000	
	8.000000	0.534332	7.000000	
	8.000000	0.417744	7.000000	
	8.000000	0.587598	7.000000	
	3.000000	0.678845	2.000000	
	3.000000	0.810662	2.000000	
	3.000000	0.812607	2.000000	
	3.000000	0.782582	2.000000	
	8.000000	0.841764	7.000000	
	8.000000	0.756565	7.000000	
	8.000000	0.897888	7.000000	
	3.000000	0.827744	2.000000	
	8.000000	0.670871	7.000000	
	8.000000	0.780992	7.000000	
	8.000000	0.657979	7.000000	
	8.000000	0.705841	7.000000	
	8.000000	0.849944	7.000000	
	8.000000	0.727313	7.000000	
	8.000000	0.789387	7.000000	
	8.000000	0.706062	7.000000	
	8.000000	0.690033	7.000000	
	8.000000	0.576250	7.000000	
	5.000000	0.529823	4.000000	
	8.000000	0.523417	7.000000	
	8.000000	0.414866	7.000000	
	3.000000	0.584024	2.000000	
	3.000000	0.520809	2.000000	
	8.000000	0.615389	7.000000	
	3.000000	0.527945	2.000000	
	8.000000	0.530403	7.000000	
	8.000000	0.785097	7.000000	
	5.000000	0.582904	4.000000	
	5.000000	0.675821	4.000000	
	8.000000	0.568477	7.000000	
	5.000000	0.655232	4.000000	
	5.000000	0.628832	4.000000	
	8.000000	0.745807	7.000000	
	3.000000	0.323868	2.000000	
	8.000000	0.418708	7.000000	
	8.000000	0.546060	7.000000	
	3.000000	0.698545	2.000000	
	1.000000	0.343913	0.000000	
	10.000000	0.580542	9.000000	
	8.000000	0.380607	7.000000	
	8.000000	0.713478	7.000000	
	8.000000	0.659866	7.000000	
	8.000000	0.601329	7.000000	
	1.000000	0.446192	0.000000	
	8.000000	0.858712	7.000000	
	1.000000	0.414282	0.000000	
	8.000000	0.664674	7.000000	
	12.000000	0.660652	11.000000	
	3.000000	0.617207	2.000000	
	10.000000	0.631123	9.000000	
	12.000000	0.653228	11.000000	
	8.000000	0.303830	7.000000	
	9.000000	0.236746	8.000000	
	8.000000	0.423412	7.000000	
	8.000000	0.443209	7.000000	
	8.000000	0.644591	7.000000	
	8.000000	0.588137	7.000000	
	5.000000	0.511836	4.000000	
	8.000000	0.626099	7.000000	
	8.000000	0.515956	7.000000	
	8.000000	0.588271	7.000000	
	8.000000	0.830284	7.000000	
	12.000000	0.582366	11.000000	
	8.000000	0.622532	7.000000	
	12.000000	0.550574	11.000000	
	10.000000	0.576257	9.000000	
	10.000000	0.545411	9.000000	
	3.000000	0.490412	2.000000	
	8.000000	0.543513	7.000000	
	5.000000	0.577068	4.000000	
	5.000000	0.675099	4.000000	
	3.000000	0.294671	2.000000	
	1.000000	0.446715	0.000000	
	8.000000	0.635617	7.000000	
	3.000000	0.738047	2.000000	
	10.000000	0.552110	9.000000	
	12.000000	0.396306	11.000000	
	12.000000	0.645736	11.000000	
	3.000000	0.669260	2.000000	
	8.000000	0.603556	7.000000	
	8.000000	0.581413	7.000000	
	1.000000	0.418464	0.000000	
	8.000000	0.785127	7.000000	
	8.000000	0.634768	7.000000	
	8.000000	0.720839	7.000000	
	3.000000	0.580437	2.000000	
	5.000000	0.691795	4.000000	
	8.000000	0.592268	7.000000	
	12.000000	0.522020	11.000000	
	8.000000	0.507373	7.000000	
	8.000000	0.341205	7.000000	
	8.000000	0.496426	7.000000	
	3.000000	0.591562	2.000000	
	12.000000	0.585774	11.000000	
	8.000000	0.389436	7.000000	
	10.000000	0.303031	9.000000	
	3.000000	0.563902	2.000000	
	3.000000	0.504787	2.000000	
	12.000000	0.811019	11.000000	
	8.000000	0.666556	7.000000	
	1.000000	0.401088	0.000000	
	10.000000	0.406073	9.000000	
	10.000000	0.386372	9.000000	
	10.000000	0.463407	9.000000	
	8.000000	0.448466	7.000000	
	8.000000	0.299758	7.000000	
	8.000000	0.439000	7.000000	
	8.000000	0.421265	7.000000	
	8.000000	0.337481	7.000000	
	9.000000	0.283053	8.000000	
	9.000000	0.203138	8.000000	
	8.000000	0.296392	7.000000	
	3.000000	0.539964	2.000000	
	5.000000	0.783019	4.000000	
	5.000000	0.744796	4.000000	
	5.000000	0.825538	4.000000	
	5.000000	0.783129	4.000000	
	5.000000	0.806629	4.000000	
	8.000000	0.668628	7.000000	
	8.000000	0.838074	7.000000	
	5.000000	0.604266	4.000000	
	8.000000	0.729442	7.000000	
	8.000000	0.690686	7.000000	
	5.000000	0.747067	4.000000	
	5.000000	0.713191	4.000000	
	8.000000	0.851909	7.000000	
	8.000000	0.676354	7.000000	
	8.000000	0.493492	7.000000	
	12.000000	0.709295	11.000000	
	8.000000	0.647697	7.000000	
	8.000000	0.785512	7.000000	
	3.000000	0.617380	2.000000	
	8.000000	0.652732	7.000000	
	8.000000	0.791526	7.000000	
	8.000000	0.842688	7.000000	
	8.000000	0.691589	7.000000	
	8.000000	0.734232	7.000000	
	1.000000	0.771877	0.000000	
	1.000000	0.826164	0.000000	
	1.000000	0.584931	0.000000	
	3.000000	0.801888	2.000000	
	8.000000	0.834545	7.000000	
	8.000000	0.780982	7.000000	
	8.000000	0.733797	7.000000	
	8.000000	0.599043	7.000000	
	8.000000	0.836081	7.000000	
	8.000000	0.610183	7.000000	
	8.000000	0.711445	7.000000	
	8.000000	0.731842	7.000000	
	8.000000	0.740485	7.000000	
	8.000000	0.556857	7.000000	
	5.000000	0.652018	4.000000	
	8.000000	0.571259	7.000000	
	8.000000	0.372799	7.000000	
	8.000000	0.237970	7.000000	
	8.000000	0.529008	7.000000	
	8.000000	0.499991	7.000000	
	3.000000	0.562947	2.000000	
	8.000000	0.673292	7.000000	
	8.000000	0.644503	7.000000	
	5.000000	0.754292	4.000000	
	5.000000	0.626862	4.000000	
	8.000000	0.527730	7.000000	
	5.000000	0.580049	4.000000	
	5.000000	0.699125	4.000000	
	8.000000	0.662209	7.000000	
	3.000000	0.263008	2.000000	
	1.000000	0.376211	0.000000	
	8.000000	0.564132	7.000000	
	8.000000	0.693916	7.000000	
	8.000000	0.554406	7.000000	
	10.000000	0.512003	9.000000	
	8.000000	0.268538	7.000000	
	8.000000	0.801337	7.000000	
	3.000000	0.587695	2.000000	
	8.000000	0.553602	7.000000	
	1.000000	0.295496	0.000000	
	8.000000	0.804551	7.000000	
	8.000000	0.448677	7.000000	
	8.000000	0.577905	7.000000	
	12.000000	0.610497	11.000000	
	3.000000	0.601527	2.000000	
	10.000000	0.593401	9.000000	
	12.000000	0.725215	11.000000	
	8.000000	0.520176	7.000000	
	5.000000	0.263245	4.000000	
	8.000000	0.378641	7.000000	
	8.000000	0.547028	7.000000	
	8.000000	0.593178	7.000000	
	8.000000	0.744232	7.000000	
	10.000000	0.684494	9.000000	
	5.000000	0.615326	4.000000	
	8.000000	0.644893	7.000000	
	12.000000	0.545726	11.000000	
	8.000000	0.801622	7.000000	
	12.000000	0.602830	11.000000	
	8.000000	0.452723	7.000000	
	12.000000	0.288504	11.000000	
	6.000000	0.413690	5.000000	
	10.000000	0.602506	9.000000	
	3.000000	0.407788	2.000000	
	8.000000	0.546271	7.000000	
	5.000000	0.526572	4.000000	
	5.000000	0.615437	4.000000	
	1.000000	0.277667	0.000000	
	1.000000	0.337164	0.000000	
	8.000000	0.587086	7.000000	
	8.000000	0.671281	7.000000	
