_Key	_Keyclarity	_Keystrength		
	12.000000	0.358903	11.000000	
	4.000000	0.436474	3.000000	
	4.000000	0.496208	3.000000	
	4.000000	0.473433	3.000000	
	7.000000	0.590653	6.000000	
	11.000000	0.239932	10.000000	
	11.000000	0.597876	10.000000	
	11.000000	0.482851	10.000000	
	11.000000	0.385160	10.000000	
	4.000000	0.560041	3.000000	
	11.000000	0.249922	10.000000	
	10.000000	0.257307	9.000000	
	7.000000	0.201196	6.000000	
	11.000000	0.392299	10.000000	
	4.000000	0.298208	3.000000	
	11.000000	0.312637	10.000000	
	11.000000	0.385647	10.000000	
	5.000000	0.338219	4.000000	
	5.000000	0.637696	4.000000	
	12.000000	0.364405	11.000000	
	12.000000	0.743924	11.000000	
	8.000000	0.364396	7.000000	
	8.000000	0.553708	7.000000	
	1.000000	0.614309	0.000000	
	8.000000	0.576973	7.000000	
	1.000000	0.689071	0.000000	
	8.000000	0.634798	7.000000	
	1.000000	0.567230	0.000000	
	8.000000	0.559690	7.000000	
	1.000000	0.754785	0.000000	
	8.000000	0.582525	7.000000	
	1.000000	0.632027	0.000000	
	1.000000	0.660676	0.000000	
	1.000000	0.740929	0.000000	
	8.000000	0.588326	7.000000	
	1.000000	0.513645	0.000000	
	8.000000	0.575090	7.000000	
	8.000000	0.399880	7.000000	
	8.000000	0.668741	7.000000	
	8.000000	0.546919	7.000000	
	8.000000	0.674208	7.000000	
	8.000000	0.753021	7.000000	
	8.000000	0.683801	7.000000	
	8.000000	0.523564	7.000000	
	1.000000	0.517744	0.000000	
	8.000000	0.643270	7.000000	
	1.000000	0.399118	0.000000	
	8.000000	0.375384	7.000000	
	1.000000	0.699219	0.000000	
	8.000000	0.575244	7.000000	
	8.000000	0.448894	7.000000	
	8.000000	0.420468	7.000000	
	1.000000	0.736273	0.000000	
	8.000000	0.300899	7.000000	
	1.000000	0.391220	0.000000	
	8.000000	0.486333	7.000000	
	6.000000	0.471525	5.000000	
	6.000000	0.593384	5.000000	
	6.000000	0.484134	5.000000	
	1.000000	0.496407	0.000000	
	1.000000	0.692459	0.000000	
	1.000000	0.533916	0.000000	
	1.000000	0.561618	0.000000	
	1.000000	0.621177	0.000000	
	1.000000	0.657343	0.000000	
	1.000000	0.629636	0.000000	
	8.000000	0.598959	7.000000	
	8.000000	0.524575	7.000000	
	1.000000	0.651541	0.000000	
	1.000000	0.449281	0.000000	
	8.000000	0.558958	7.000000	
	6.000000	0.337391	5.000000	
	6.000000	0.645909	5.000000	
	6.000000	0.498648	5.000000	
	4.000000	0.660375	3.000000	
	8.000000	0.748353	7.000000	
	6.000000	0.476149	5.000000	
