_Key	_Keyclarity	_Keystrength		
	11.000000	0.747260	10.000000	
	11.000000	0.811804	10.000000	
	11.000000	0.790095	10.000000	
	11.000000	0.766946	10.000000	
	11.000000	0.799432	10.000000	
	11.000000	0.840780	10.000000	
	11.000000	0.682178	10.000000	
	1.000000	0.823637	0.000000	
	1.000000	0.902980	0.000000	
	1.000000	0.905071	0.000000	
	6.000000	0.811246	5.000000	
	6.000000	0.529725	5.000000	
	6.000000	0.807019	5.000000	
	11.000000	0.805948	10.000000	
	8.000000	0.901342	7.000000	
	11.000000	0.783494	10.000000	
	8.000000	0.730866	7.000000	
	8.000000	0.865429	7.000000	
	1.000000	0.452988	0.000000	
	11.000000	0.671110	10.000000	
	6.000000	0.781627	5.000000	
	6.000000	0.803997	5.000000	
	11.000000	0.793813	10.000000	
	11.000000	0.651104	10.000000	
	8.000000	0.673449	7.000000	
	11.000000	0.862569	10.000000	
	11.000000	0.654924	10.000000	
	11.000000	0.556046	10.000000	
	8.000000	0.800637	7.000000	
	11.000000	0.577189	10.000000	
	11.000000	0.522181	10.000000	
	11.000000	0.750487	10.000000	
	11.000000	0.732798	10.000000	
	11.000000	0.770419	10.000000	
	11.000000	0.764092	10.000000	
	11.000000	0.700641	10.000000	
	8.000000	0.864471	7.000000	
	11.000000	0.789491	10.000000	
	11.000000	0.748630	10.000000	
	1.000000	0.649044	0.000000	
	1.000000	0.492544	0.000000	
	1.000000	0.595535	0.000000	
	1.000000	0.512493	0.000000	
	6.000000	0.445811	5.000000	
	8.000000	0.562427	7.000000	
	1.000000	0.762090	0.000000	
	6.000000	0.675303	5.000000	
	6.000000	0.605569	5.000000	
	6.000000	0.629321	5.000000	
	10.000000	0.590363	9.000000	
	6.000000	0.791715	5.000000	
	11.000000	0.663144	10.000000	
	11.000000	0.790082	10.000000	
	11.000000	0.697515	10.000000	
	6.000000	0.656637	5.000000	
	11.000000	0.661629	10.000000	
	11.000000	0.750707	10.000000	
	11.000000	0.774529	10.000000	
	11.000000	0.755049	10.000000	
	11.000000	0.764436	10.000000	
	3.000000	0.635087	2.000000	
	8.000000	0.650194	7.000000	
	8.000000	0.394423	7.000000	
	8.000000	0.542556	7.000000	
	11.000000	0.778320	10.000000	
	11.000000	0.780674	10.000000	
	11.000000	0.562346	10.000000	
	11.000000	0.754756	10.000000	
	6.000000	0.710517	5.000000	
	6.000000	0.775579	5.000000	
	11.000000	0.766848	10.000000	
	11.000000	0.848097	10.000000	
	11.000000	0.830724	10.000000	
	11.000000	0.838439	10.000000	
	11.000000	0.742241	10.000000	
	11.000000	0.555798	10.000000	
	3.000000	0.359166	2.000000	
	6.000000	0.791653	5.000000	
	6.000000	0.752793	5.000000	
	6.000000	0.720354	5.000000	
	11.000000	0.690331	10.000000	
	11.000000	0.782963	10.000000	
	11.000000	0.737988	10.000000	
	11.000000	0.763271	10.000000	
	4.000000	0.860519	3.000000	
	4.000000	0.638894	3.000000	
	8.000000	0.658340	7.000000	
	11.000000	0.717098	10.000000	
	11.000000	0.768384	10.000000	
	11.000000	0.687552	10.000000	
	8.000000	0.777277	7.000000	
	4.000000	0.642134	3.000000	
	4.000000	0.620216	3.000000	
	4.000000	0.531909	3.000000	
	10.000000	0.620702	9.000000	
	1.000000	0.401997	0.000000	
	10.000000	0.403569	9.000000	
	8.000000	0.846756	7.000000	
	8.000000	0.703301	7.000000	
	8.000000	0.604205	7.000000	
	8.000000	0.630149	7.000000	
	8.000000	0.641006	7.000000	
	8.000000	0.690626	7.000000	
	11.000000	0.709040	10.000000	
	11.000000	0.762420	10.000000	
	11.000000	0.869334	10.000000	
	11.000000	0.781694	10.000000	
	11.000000	0.727661	10.000000	
	11.000000	0.738648	10.000000	
	8.000000	0.901668	7.000000	
	1.000000	0.541982	0.000000	
	1.000000	0.680696	0.000000	
	1.000000	0.694099	0.000000	
	6.000000	0.511778	5.000000	
	6.000000	0.405409	5.000000	
	6.000000	0.490124	5.000000	
	11.000000	0.798582	10.000000	
	8.000000	0.588897	7.000000	
	1.000000	0.643518	0.000000	
	3.000000	0.634076	2.000000	
	10.000000	0.701797	9.000000	
	6.000000	0.695139	5.000000	
	1.000000	0.670652	0.000000	
	11.000000	0.799794	10.000000	
	11.000000	0.782078	10.000000	
	11.000000	0.793356	10.000000	
