_Key	_Keyclarity	_Keystrength		
	10.000000	0.439629	9.000000	
	6.000000	0.429816	5.000000	
	1.000000	0.236796	0.000000	
	10.000000	0.602595	9.000000	
	1.000000	0.748589	0.000000	
	1.000000	0.765644	0.000000	
	8.000000	0.632953	7.000000	
	10.000000	0.817991	9.000000	
	10.000000	0.696256	9.000000	
	10.000000	0.754838	9.000000	
	3.000000	0.824382	2.000000	
	3.000000	0.632345	2.000000	
	3.000000	0.700903	2.000000	
	8.000000	0.838059	7.000000	
	8.000000	0.746563	7.000000	
	8.000000	0.719746	7.000000	
	1.000000	0.764570	0.000000	
	1.000000	0.636499	0.000000	
	1.000000	0.584293	0.000000	
	10.000000	0.813195	9.000000	
	10.000000	0.873749	9.000000	
	10.000000	0.593029	9.000000	
	3.000000	0.554995	2.000000	
	3.000000	0.791367	2.000000	
	3.000000	0.618290	2.000000	
	8.000000	0.523797	7.000000	
	8.000000	0.741730	7.000000	
	8.000000	0.647575	7.000000	
	8.000000	0.703781	7.000000	
	8.000000	0.637296	7.000000	
	8.000000	0.659604	7.000000	
	8.000000	0.667723	7.000000	
	1.000000	0.708176	0.000000	
	1.000000	0.845288	0.000000	
	1.000000	0.533347	0.000000	
	1.000000	0.786503	0.000000	
	1.000000	0.712063	0.000000	
	8.000000	0.770854	7.000000	
	10.000000	0.635843	9.000000	
	10.000000	0.791948	9.000000	
	5.000000	0.767178	4.000000	
	1.000000	0.794403	0.000000	
	1.000000	0.803881	0.000000	
	1.000000	0.734993	0.000000	
	1.000000	0.721345	0.000000	
	1.000000	0.816676	0.000000	
	1.000000	0.566175	0.000000	
	1.000000	0.731604	0.000000	
	1.000000	0.765556	0.000000	
	1.000000	0.582341	0.000000	
	1.000000	0.770118	0.000000	
	1.000000	0.789767	0.000000	
	1.000000	0.740815	0.000000	
	5.000000	0.593512	4.000000	
	8.000000	0.638836	7.000000	
	8.000000	0.500383	7.000000	
	8.000000	0.667182	7.000000	
	8.000000	0.666595	7.000000	
	8.000000	0.695433	7.000000	
	8.000000	0.695789	7.000000	
	1.000000	0.818828	0.000000	
	1.000000	0.734541	0.000000	
	1.000000	0.691340	0.000000	
	2.000000	0.729906	1.000000	
	2.000000	0.707720	1.000000	
	2.000000	0.714167	1.000000	
	3.000000	0.480001	2.000000	
	3.000000	0.755637	2.000000	
