_Key	_Keyclarity	_Keystrength		
	8.000000	0.601202	7.000000	
	8.000000	0.602618	7.000000	
	8.000000	0.600056	7.000000	
	8.000000	0.802302	7.000000	
	8.000000	0.623183	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.604275	7.000000	
	8.000000	0.602353	7.000000	
	8.000000	0.600215	7.000000	
	8.000000	0.604381	7.000000	
	8.000000	0.821216	7.000000	
	8.000000	0.615858	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.617547	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.639973	7.000000	
	8.000000	0.789248	7.000000	
	8.000000	0.613303	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.599306	7.000000	
	8.000000	0.609382	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.720501	7.000000	
	8.000000	0.733732	7.000000	
	8.000000	0.611356	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.601911	7.000000	
	8.000000	0.603327	7.000000	
	8.000000	0.599844	7.000000	
	8.000000	0.772859	7.000000	
	8.000000	0.661522	7.000000	
	5.000000	0.615443	4.000000	
	8.000000	0.631709	7.000000	
	1.000000	0.820509	0.000000	
	1.000000	0.802144	0.000000	
	1.000000	0.768249	0.000000	
	1.000000	0.751744	0.000000	
	1.000000	0.817426	0.000000	
	1.000000	0.700703	0.000000	
	1.000000	0.821102	0.000000	
	1.000000	0.564194	0.000000	
	7.000000	0.626877	6.000000	
	10.000000	0.555323	9.000000	
	8.000000	0.697991	7.000000	
	7.000000	0.703449	6.000000	
	7.000000	0.609075	6.000000	
	3.000000	0.542694	2.000000	
	8.000000	0.644634	7.000000	
	8.000000	0.585051	7.000000	
	8.000000	0.599762	7.000000	
	8.000000	0.811483	7.000000	
	8.000000	0.646736	7.000000	
	8.000000	0.601617	7.000000	
	8.000000	0.613695	7.000000	
	8.000000	0.618085	7.000000	
	8.000000	0.604677	7.000000	
	8.000000	0.729412	7.000000	
	8.000000	0.791842	7.000000	
	8.000000	0.645204	7.000000	
	8.000000	0.645754	7.000000	
	8.000000	0.819836	7.000000	
	8.000000	0.811237	7.000000	
	1.000000	0.790259	0.000000	
	1.000000	0.817742	0.000000	
	1.000000	0.746302	0.000000	
	1.000000	0.827066	0.000000	
	1.000000	0.803778	0.000000	
	5.000000	0.695739	4.000000	
	3.000000	0.806401	2.000000	
	3.000000	0.623664	2.000000	
	3.000000	0.739468	2.000000	
	3.000000	0.741030	2.000000	
	3.000000	0.433999	2.000000	
	10.000000	0.667719	9.000000	
