_Key	_Keyclarity	_Keystrength		
	6.000000	0.458288	5.000000	
	7.000000	0.445656	6.000000	
	2.000000	0.331446	1.000000	
	1.000000	0.423839	0.000000	
	7.000000	0.373704	6.000000	
	7.000000	0.519854	6.000000	
	7.000000	0.603238	6.000000	
	7.000000	0.515694	6.000000	
	7.000000	0.520062	6.000000	
	7.000000	0.464206	6.000000	
	7.000000	0.506184	6.000000	
	7.000000	0.477956	6.000000	
	7.000000	0.484418	6.000000	
	7.000000	0.573102	6.000000	
	7.000000	0.595079	6.000000	
	12.000000	0.670730	11.000000	
	7.000000	0.644461	6.000000	
	7.000000	0.584070	6.000000	
	7.000000	0.716128	6.000000	
	7.000000	0.720837	6.000000	
	7.000000	0.738044	6.000000	
	7.000000	0.764845	6.000000	
	7.000000	0.691158	6.000000	
	7.000000	0.685747	6.000000	
	7.000000	0.764809	6.000000	
	7.000000	0.687221	6.000000	
	7.000000	0.620152	6.000000	
	7.000000	0.699961	6.000000	
	7.000000	0.633277	6.000000	
	7.000000	0.604854	6.000000	
	7.000000	0.611785	6.000000	
	7.000000	0.601274	6.000000	
	7.000000	0.606899	6.000000	
	12.000000	0.617649	11.000000	
	12.000000	0.739494	11.000000	
	12.000000	0.741559	11.000000	
	12.000000	0.746521	11.000000	
	12.000000	0.765153	11.000000	
	12.000000	0.873737	11.000000	
	12.000000	0.634781	11.000000	
	12.000000	0.606669	11.000000	
	12.000000	0.748376	11.000000	
	12.000000	0.596546	11.000000	
	12.000000	0.706029	11.000000	
	12.000000	0.673840	11.000000	
	12.000000	0.348553	11.000000	
	12.000000	0.514127	11.000000	
	12.000000	0.738573	11.000000	
	12.000000	0.645625	11.000000	
	7.000000	0.432054	6.000000	
	5.000000	0.423839	4.000000	
	3.000000	0.713025	2.000000	
	3.000000	0.639951	2.000000	
	3.000000	0.705391	2.000000	
	12.000000	0.568881	11.000000	
	12.000000	0.446705	11.000000	
	12.000000	0.427736	11.000000	
	8.000000	0.447858	7.000000	
	3.000000	0.720713	2.000000	
	5.000000	0.693084	4.000000	
	10.000000	0.691958	9.000000	
	10.000000	0.723505	9.000000	
	5.000000	0.569607	4.000000	
	5.000000	0.473369	4.000000	
	5.000000	0.823705	4.000000	
	7.000000	0.472634	6.000000	
	7.000000	0.592630	6.000000	
	7.000000	0.620486	6.000000	
	12.000000	0.533647	11.000000	
	12.000000	0.591549	11.000000	
	12.000000	0.673031	11.000000	
	12.000000	0.652911	11.000000	
	7.000000	0.501770	6.000000	
	5.000000	0.666051	4.000000	
	3.000000	0.817384	2.000000	
	5.000000	0.546240	4.000000	
	7.000000	0.594078	6.000000	
	12.000000	0.568628	11.000000	
	12.000000	0.638934	11.000000	
	7.000000	0.333892	6.000000	
	8.000000	0.280270	7.000000	
	12.000000	0.574059	11.000000	
	12.000000	0.351188	11.000000	
	3.000000	0.637257	2.000000	
	5.000000	0.559102	4.000000	
	5.000000	0.467654	4.000000	
	10.000000	0.735262	9.000000	
	10.000000	0.707971	9.000000	
	10.000000	0.774891	9.000000	
	12.000000	0.536367	11.000000	
	12.000000	0.450985	11.000000	
	12.000000	0.437416	11.000000	
	3.000000	0.639464	2.000000	
	3.000000	0.691341	2.000000	
	3.000000	0.766603	2.000000	
	3.000000	0.590855	2.000000	
	3.000000	0.713875	2.000000	
	8.000000	0.843531	7.000000	
	5.000000	0.600412	4.000000	
	5.000000	0.638831	4.000000	
	12.000000	0.667973	11.000000	
	12.000000	0.845334	11.000000	
	12.000000	0.572176	11.000000	
	10.000000	0.436173	9.000000	
	10.000000	0.653161	9.000000	
	3.000000	0.586081	2.000000	
	10.000000	0.674301	9.000000	
	10.000000	0.744060	9.000000	
	7.000000	0.667420	6.000000	
	8.000000	0.696307	7.000000	
	3.000000	0.744471	2.000000	
	3.000000	0.535107	2.000000	
	7.000000	0.728258	6.000000	
	3.000000	0.785066	2.000000	
	3.000000	0.615377	2.000000	
	3.000000	0.715329	2.000000	
	3.000000	0.760653	2.000000	
	8.000000	0.619771	7.000000	
	3.000000	0.679083	2.000000	
	3.000000	0.645172	2.000000	
	8.000000	0.773393	7.000000	
	8.000000	0.870392	7.000000	
	5.000000	0.659031	4.000000	
	12.000000	0.609983	11.000000	
	12.000000	0.725263	11.000000	
	12.000000	0.702592	11.000000	
	10.000000	0.710402	9.000000	
	10.000000	0.758786	9.000000	
	3.000000	0.806608	2.000000	
	5.000000	0.588417	4.000000	
	3.000000	0.533135	2.000000	
	7.000000	0.480997	6.000000	
	2.000000	0.532628	1.000000	
	12.000000	0.442456	11.000000	
	10.000000	0.564068	9.000000	
	12.000000	0.549445	11.000000	
	12.000000	0.636087	11.000000	
	12.000000	0.622232	11.000000	
	12.000000	0.446964	11.000000	
